occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
"IPB-2000BH-DS001-PH-EM004","Buchanania","Buchanania Spreng.","3190571","EXACT","95","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Buchanania",
"IPB-2000BH-DS001-PH-EM006","Calophyllum","Calophyllum L.","3189443","EXACT","96","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Calophyllaceae","Calophyllum",
"IPB-2000BH-DS001-PH-EM014","Dillennia","Dillenia L.","3083492","FUZZY","80","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Dilleniales","Dilleniaceae","Dillenia",
"IPB-2000BH-DS001-PH-EM033","Parkiaeciosa","Plantae","6","HIGHERRANK","99","ACCEPTED","KINGDOM","Plantae",,,,,,
"IPB-2000LS-RN003-ST2-FN007","Melanoides granifera","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000LS-RN003-ST3-FN009","Melanoides granifera","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000LS-RN003-ST4-FN008","Melanoides torulosa","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000LS-RN003-ST4-FN009","Melanoides granifera","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000LS-RN003-ST4-FN010","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2000MS-RN005-ST1-FN001","Brotiaadicea","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2000MS-RN005-ST1-FN002","Brotia testudinaria","Brotia testudaria","8731031","FUZZY","95","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia","Brotia testudaria"
"IPB-2000MS-RN005-ST1-FN003","Syncera","Syncera","2293388","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Stomatellidae","Syncera",
"IPB-2000MS-RN005-ST2-FN001","Thiara scabra","Thiara scabra (O.F.Müller, 1774)","5782605","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Mieniplotia","Mieniplotia scabra"
"IPB-2000MS-RN005-ST2-FN002","Melanoides granifera","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000MS-RN005-ST2-FN003","Brotiaadicea","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2000MS-RN005-ST2-FN004","Syncera","Syncera","2293388","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Stomatellidae","Syncera",
"IPB-2000MS-RN005-ST2-FN005","Gyraulus","Gyraulus Charpentier, 1837","2290991","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Planorbidae","Gyraulus",
"IPB-2000MS-RN005-ST3-FN001","Thiara scabra","Thiara scabra (O.F.Müller, 1774)","5782605","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Mieniplotia","Mieniplotia scabra"
"IPB-2000MS-RN005-ST3-FN002","Thiara","Thiara Röding, 1798","2300931","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2000MS-RN005-ST3-FN003","Melanoides punctata","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000MS-RN005-ST3-FN004","Melanoides granifera","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000MS-RN005-ST3-FN005","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2000MS-RN005-ST3-FN006","Brotiaadicea","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2000MS-RN005-ST3-FN007","Brotia costula","Brotia costula (Rafinesque, 1833)","4617181","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia","Brotia costula"
