parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
IPB-2000NI-ST001,IPB-2000NI-ST001-PL001,1999-10,Plot sampling,taking living speciment from the plot (15 Plot 50x50cm),2500,cm2,PL001,polygon,WGS84,-6.91,106.82,WGS84,ID,JAVA,West Java,Sukabumi,,Hutan Pendidikan Gunung Walat,
IPB-2000NI-ST001,IPB-2000NI-ST001-PL002,1999-10,Plot sampling,taking living speciment from the plot (15 Plot 50x50cm),2500,cm2,PL002,polygon,WGS84,-6.91,106.82,WGS84,ID,JAVA,West Java,Sukabumi,,Hutan Pendidikan Gunung Walat,
IPB-2000NI-ST001,IPB-2000NI-ST001-PL003,1999-10,Plot sampling,taking living speciment from the plot (15 Plot 50x50cm),2500,cm2,PL003,polygon,WGS84,-6.91,106.82,WGS84,ID,JAVA,West Java,Sukabumi,,Hutan Pendidikan Gunung Walat,
IPB-2000NI-ST001,IPB-2000NI-ST001-PL004,1999-10,Plot sampling,taking living speciment from the plot (15 Plot 50x50cm),2500,cm2,PL004,polygon,WGS84,-6.91,106.82,WGS84,ID,JAVA,West Java,Sukabumi,,Hutan Pendidikan Gunung Walat,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR001,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR001,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR002,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR002,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR003,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR003,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR004,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR004,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR005,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR005,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR006,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR006,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR007,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR007,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017NH-ST002,IPB-2017NH-ST002-TR008,2016-05/2017-03,Line transect,plot sampling by using malaise trap,300x700,m,TR008,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR001,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR001,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR002,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR002,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR003,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR003,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR004,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR004,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR005,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR005,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR006,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR006,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR007,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR007,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2017HF-ST003,IPB-2017HF-ST003-TR008,2016-07/2017-02,Line transect,plot sampling by using malaise trap,300x700,m,TR008,polygon,WGS84,-2.4,111.73,WGS84,ID,kalimantan,central kalimantan,West Kotawarigin,South Arun,Runtu village,
IPB-2016ES-ST004,IPB-2016ES-ST004-PL001,2015-08/11,Plot sampling,Plot sampling by using malaise trap and sweep net,15,m,PL001,polygon,WGS84,-6.61,107.40,WGS84,ID,Java,West Java,Purwakarta,Sukatani,Sukatani,
