parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UGM-2016AA-AN013,UGM-2016AA-AN013-TR001,2015-08/11,Convenient sampling,Sampling collection from 1120-1340 asl|Sampel was preserve in herbarium envelope,330,m square,,,,-7.3613889,110.3997222,WGS84,ID,JAVA,Central Java,Magelang,Getasan,Ngrawan,Mount of Telomoyo
UGM-2015MP-AN014,UGM-2015MP-AN014-TR001,2015-01-18/02-17,Convenient sampling,"Using tool box, insect net (d:30 cm, l: 3 m), D-net (d:30 cm, l: 1.5 m), hand counter, and digital camera",10000,m square,,,,-7.6404167,111.13075,WGS84,ID,JAVA,Central Java,Karanganyar,Ngargoyoso,Berjo,Madirda Lake
UGM-2015MP-AN014,UGM-2015MP-AN014-TR002,2015-01-31/03-03,Convenient sampling,"Using tool box, insect net (d:30 cm, l: 3 m), D-net (d:30 cm, l: 1.6 m), hand counter, and digital camera",10000,m square,,,,-7.6309444,111.1263333,WGS84,ID,JAVA,Central Java,Karanganyar,Ngargoyoso,Berjo,Jumog Waterfall
UGM-2015AS-AN015,UGM-2015AS-AN015-TR001,2014-02-26/06-26,Exploration,"Observation from 0-1200 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-0.6422222|-0.7222222|-0.7229167|-0.7310278,127.4213889|127.4601944|127.4646111|127.4687222,WGS84,ID,Sulawesi,North Maluku,,,Cagar Alam Gunung Sibela,
UGM-2015AS-AN015,UGM-2015AS-AN015-TR002,2014-02-26/06-26,Exploration,"Observation from 0-1201 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-0.7172778|-0.7330833|-0.734611`|-0.738333,127.4841111|127.4725556|127.4745|127.4761667,WGS84,ID,Sulawesi,North Maluku,,,Cagar Alam Gunung Sibela,
UGM-2015AS-AN015,UGM-2015AS-AN015-TR003,2014-02-26/06-26,Exploration,"Observation from 0-1202 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-0.7378333|-0.7380833|-07388611,127.4800556|127.4816111|127.4827222,WGS84,ID,Sulawesi,North Maluku,,,Cagar Alam Gunung Sibela,
UGM-2015AS-AN015,UGM-2015AS-AN015-TR004,2014-02-26/06-26,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-0.7394167|-0.7385556,127.487|127.4900556,WGS84,ID,Sulawesi,North Maluku,,,Cagar Alam Gunung Sibela,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR001,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-2.9312222,129.21925,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Besi,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR002,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-2.969575,129.126,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Masihulan,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR003,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-2.8905556,129.5334194,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Saleman,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR004,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-3.16735,129.4822028,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Solea,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR005,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-3.11494639,129.4822611,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Waifuku,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR006,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-3.0255167,129.3857361,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Waihuhu,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR007,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-3.1454722,129.482225,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Waisamata,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR008,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-3.134525,129.4818833,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Waisanhutuni,
UGM-2014IW-AN016,UGM-2014IW-AN016-TR009,2014-03/06,Exploration,"Observation from 0-1203 m asl|tagging location|orchid characterization consist  of habitat, root, leaf, flower, stem, and fruit",1600,m square,,,,-2.8454389,129.6097139,WGS84,ID,Sulawesi,Maluku,Central Maluku,,Sasarata,
