parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UGM-2017BN-AN001,UGM-2017BN-AN001-TS001,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.70733,110.41273,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Ngaglik,"Candi, Sardonoharjo",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS002,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.71555,110.4093,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Ngaglik,"Pedak, Sinduharjo",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS003,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.75688,110.41496,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Depok,"Mancasan Lor, Condong Catur",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS004,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.76214,110.41705,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Depok,"Pugeran, Maguwoharjo",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS005,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.76753,110.41538,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Depok,"Seturan, Catur Tunggal",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS006,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.78301,110.41936,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Depok,"Corongan, Dewan",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS007,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.80327,110.42247,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Brebah,"Babadan Kadipolo, Sendang Tirto",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS008,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.82169,110.42282,WGS84,ID,JAVA,D.I.Yogyakarta,Bantul,Banguntapan,"Plokaran, Baturetno",
UGM-2017BN-AN001,UGM-2017BN-AN001-TS009,2016-08-28/10-04,Convenient sampling,Using aquatic net,200,meter,,,,-7.85164,110.42975,WGS84,ID,JAVA,D.I.Yogyakarta,Bantul,Banguntapan,"Pamotan Lor, Jambidan",
UGM-2017KC-AN002,UGM-2017KC-AN002-TS001,2016-03/06,Convenient sampling,"Using sweepnet|sampling on the body, feces, and cage of cattle",-,-,,,,-7.6769444,110.4638889,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Cangkringan,Taruna Bumi,
UGM-2017KC-AN002,UGM-2017KC-AN002-TS002,2016-03/06,Convenient sampling,"Using sweepnet|sampling on the body, feces, and cage of cattle",-,-,,,,-7.6769444,110.4638889,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Cangkringan,Sedyp Mulyo,
UGM-2017KC-AN002,UGM-2017KC-AN002-TS003,2016-03/06,Convenient sampling,"Using sweepnet|sampling on the body, feces, and cage of cattle",-,-,,,,-7.6753417,110.4482639,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Cangkringan,Huntap Kuwang,
UGM-2017LF-AN003,UGM-2017LF-AN003-TR001,2016-06/12,Combination transect and VES (Visual Ecounter Survey),Observation and sampling in the morning (09.00-until drop) and evening (20.00-until drop).,2500,mete square,,,,-7.8108917,110.4291889,WGS84,ID,JAVA,D.I.Yogyakarta,Sleman,Berbah,Sendang Tirto,
UGM-2017LF-AN003,UGM-2017LF-AN003-TR002,2016-06/12,Combination transect and VES (Visual Ecounter Survey),Observation and sampling in the morning (09.00-until drop) and evening (20.00-until drop).,2500,mete square,,,,-7.8217806,110.4172722,WGS84,ID,JAVA,D.I.Yogyakarta,Bantul,Banguntapan,Batu Retno,
UGM-2017LF-AN003,UGM-2017LF-AN003-TR003,2016-06/12,Combination transect and VES (Visual Ecounter Survey),Observation and sampling in the morning (09.00-until drop) and evening (20.00-until drop).,2500,mete square,,,,-7.8526639,110.4172722,WGS84,ID,JAVA,D.I.Yogyakarta,Bantul,Banguntapan,Jambidan,
UGM-2017PV-AN004,UGM-2017PV-AN004-TS001,2016-06/12,Convenient sampling,Taking picture of moss using camera| Collecting moss with scrub then put it into envelops| Making herbarium for identification,Based on school yard area,mete square,,,1,-7.8307667,110.4471889,WGS84,ID,JAVA,D.I.Yogyakarta,Yogyakarta,Gondomanan,SMP N 2 Yogyakarta,
UGM-2017PV-AN004,UGM-2017PV-AN004-TS002,2016-06/12,Convenient sampling,Taking picture of moss using camera| Collecting moss with scrub then put it into envelops| Making herbarium for identification,Based on school yard area,mete square,,,2,-7.8199833,110.3848306,WGS84,ID,JAVA,D.I.Yogyakarta,Yogyakarta,Kotagede,SMP N 9 Yogyakarta,
