parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK01,2016-09/10,Tree census,4 weeks tree census,0.51,hectare,SHK01,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Jekulo,"Hutan Kota Jekulo, Desa Jekulo, Kecamatan Jekulo",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK02,2016-09/10,Tree census,4 weeks tree census,0.53,hectare,SHK02,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Bae,"Hutan Kota Rendeng, Desa Rendeng, Kecamatan Kota",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK03,2016-09/10,Tree census,4 weeks tree census,1.03,hectare,SHK03,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Kota,"Hutan Kota Purwosari, Desa Purwosari, Kecamatan Kota",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK04,2016-09/10,Tree census,4 weeks tree census,10.72,hectare,SHK04,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Jati,"Hutan Kota Getas Pejaten, Desa Getas Pejaten, Kecamatan Jati",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK05,2016-09/10,Tree census,4 weeks tree census,0.3,hectare,SHK05,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Jati,"Hutan Kota Jati, Desa Jati, Kecamatan Jati",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK06,2016-09/10,Tree census,4 weeks tree census,4.4,hectare,SHK06,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Kota,"Hutan Kota Wergu Wetan, Desa Wergu Wetan, Kecamatan Kota",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK07,2016-09/10,Tree census,4 weeks tree census,4.03,hectare,SHK07,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Kota,"Hutan Kota Mlatinorowito, Desa Mlatinorowito, Kecamatan Kota",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK08,2016-09/10,Tree census,4 weeks tree census,6.34,hectare,SHK08,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Bae,"Hutan Kota Gondang Manis, Desa Gondang Manis, Kecamatan Bae",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK09,2016-09/10,Tree census,4 weeks tree census,19.04,hectare,SHK09,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Kota,"Hutan Kota Singocandi, Desa Singocandi, Kecamatan Kota",
UGM-2017DN-BA001,UGM-2017DN-BA001-SHK10,2016-09/10,Tree census,4 weeks tree census,2.56,hectare,SHK10,,,6.85/7.26666667,110.6/110.83333333,WGS84,ID,Java,Middle Java,Kabupaten Kudus,Kecamatan Kaliwungu,"Hutan Kota Prambatan Lor, Desa Prambatan Lor, Kecamatan Kaliwungu",
