parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UGM-2016KS-BA021,UGM-2016KS-BA021-Po,2016-01/02,Double plot method,"Double plot method with 5 segments, every 100 m, in 1000 m track",86,hectare,Po,,,-6.737286,107.003119,WGS84,ID,Java,West Java,Kabupaten Cianjur,Kecamatan Cipanas,Taman Nasional Gunung Gede Pangrango,
UGM-2016KS-BA021,UGM-2016KS-BA021-Ti,2016-01/02,Double plot method,"Double plot method with 5 segments, every 100 m, in 1000 m track",86,hectare,Ti,,,-6.737286,107.003119,WGS84,ID,Java,West Java,Kabupaten Cianjur,Kecamatan Cipanas,Taman Nasional Gunung Gede Pangrango,
UGM-2016KS-BA021,UGM-2016KS-BA021-Pa,2016-01/02,Double plot method,"Double plot method with 5 segments, every 100 m, in 1000 m track",86,hectare,Pa,,,-6.737286,107.003119,WGS84,ID,Java,West Java,Kabupaten Cianjur,Kecamatan Cipanas,Taman Nasional Gunung Gede Pangrango,
UGM-2016KS-BA021,UGM-2016KS-BA021-Se,2016-01/02,Double plot method,"Double plot method with 5 segments, every 100 m, in 1000 m track",86,hectare,Se,,,-6.737286,107.003119,WGS84,ID,Java,West Java,Kabupaten Cianjur,Kecamatan Cipanas,Taman Nasional Gunung Gede Pangrango,
UGM-2013WM-BA022,UGM-2013WM-BA022-LuRin,2012-10/12 | 2013-03,Point count,Point count with 50 m radius each 200 m,1283.99,hectare,LuRin,,,-7.542904,110.4282144,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Sleman,Kecamatan Pakem,Taman Nasional Gunung Merapi,
UGM-2013WM-BA022,UGM-2013WM-BA022-LuSed,2012-10/12 | 2013-03,Point count,Point count with 50 m radius each 200 m,1283.99,hectare,LuSed,,,-7.542904,110.4282144,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Sleman,Kecamatan Pakem,Taman Nasional Gunung Merapi,
UGM-2013WM-BA022,UGM-2013WM-BA022-LuBer,2012-10/12 | 2013-03,Point count,Point count with 50 m radius each 200 m,1283.99,hectare,LuBer,,,-7.542904,110.4282144,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Sleman,Kecamatan Pakem,Taman Nasional Gunung Merapi,
UGM-2013WM-BA022,UGM-2013WM-BA022-DaRin,2012-10/12 | 2013-03,Point count,Point count with 50 m radius each 200 m,1283.99,hectare,DaRin,,,-7.542904,110.4282144,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Sleman,Kecamatan Pakem,Taman Nasional Gunung Merapi,
UGM-2013WM-BA022,UGM-2013WM-BA022-DaSed,2012-10/12 | 2013-03,Point count,Point count with 50 m radius each 200 m,1283.99,hectare,DaSed,,,-7.542904,110.4282144,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Sleman,Kecamatan Pakem,Taman Nasional Gunung Merapi,
UGM-2013WM-BA022,UGM-2013WM-BA022-DaBer,2012-10/12 | 2013-03,Point count,Point count with 50 m radius each 200 m,1283.99,hectare,DaBer,,,-7.542904,110.4282144,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Sleman,Kecamatan Pakem,Taman Nasional Gunung Merapi,
UGM-2016JP-BA023,UGM-2016JP-BA023-07Mangrove,2016-05-30/06-02,Systematic sampling with random start,Quadrat 5m*5m,2,hectare,07Mangrove,,,-6.7935606,109.0114684,WGS84,ID,Java,Central Java,Kabupaten Brebes,Desa Kaliwlingi,Kawasan Rehabilitasi Mangrove Desa Kaliwlingi,
UGM-2016JP-BA023,UGM-2016JP-BA023-09Mangrove,2016-05-30/06-02,Systematic sampling with random start,Quadrat 5m*5m,4.5,hectare,09Mangrove,,,-6.7935606,109.0114684,WGS84,ID,Java,Central Java,Kabupaten Brebes,Desa Kaliwlingi,Kawasan Rehabilitasi Mangrove Desa Kaliwlingi,
UGM-2016JP-BA023,UGM-2016JP-BA023-11Mangrove,2016-05-30/06-02,Systematic sampling with random start,Quadrat 5m*5m,3,hectare,11Mangrove,,,-6.7935606,109.0114684,WGS84,ID,Java,Central Java,Kabupaten Brebes,Desa Kaliwlingi,Kawasan Rehabilitasi Mangrove Desa Kaliwlingi,
UGM-2016JP-BA023,UGM-2016JP-BA023-07Benthos,2016-05-30/06-02,Systematic sampling with random start,Quadrat 5m*5m,2,hectare,07Benthos,,,-6.7935606,109.0114684,WGS84,ID,Java,Central Java,Kabupaten Brebes,Desa Kaliwlingi,Kawasan Rehabilitasi Mangrove Desa Kaliwlingi,
UGM-2016JP-BA023,UGM-2016JP-BA023-09Benthos,2016-05-30/06-02,Systematic sampling with random start,Quadrat 5m*5m,4.5,hectare,09Benthos,,,-6.7935606,109.0114684,WGS84,ID,Java,Central Java,Kabupaten Brebes,Desa Kaliwlingi,Kawasan Rehabilitasi Mangrove Desa Kaliwlingi,
UGM-2016JP-BA023,UGM-2016JP-BA023-11Benthos,2016-05-30/06-02,Systematic sampling with random start,Quadrat 5m*5m,3,hectare,11Benthos,,,-6.7935606,109.0114684,WGS84,ID,Java,Central Java,Kabupaten Brebes,Desa Kaliwlingi,Kawasan Rehabilitasi Mangrove Desa Kaliwlingi,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P1Apus,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P1Apus,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P2Apus,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P2Apus,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P3Apus,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P3Apus,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P4Apus,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P4Apus,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P5Apus,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P5Apus,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P6Apus,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P6Apus,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P1Ampel,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P1Ampel,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P2Ampel,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P2Ampel,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
UGM-2016PW-BA024,UGM-2016PW-BA024-5P3Ampel,2015-08/10,Proportional sampling,Quadrat 1m*1m at 4 side of NEWS,4,square metre,5P3Ampel,,,-7.8908557,110.5432688,WGS84,ID,Java,Special Region of Yogyakarta,Kabupaten Gunungkidul,Playen,Wanagama Petak 5,
