parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2013JK-AU001,UNIPA-2013JK-AU001-IS,APRIL-MEI /2013,WAWANCARA DAN OBSERVASI,1 BULAN,"60,49","LAKI-LAKI, PEREMPUAN",IS,,,,,,ID,PAPUA,WEST PAPUA,TELUK WONDAMA,RUMBERPON,,ISENEBUAI
UNIPA-2017SS-AU002,UNIPA-2017SS-AU002-SO,27 OKTOBER-13 JUNI 2017,WAWANCARA DAN OBSERVASI,6 BULAN,"10 Orang, petak 2x2, 5x5, 10x10, 4 jalur",,SO,,,00°.06',134°.03',,ID,PAPUA,WEST PAPUA,MANOKWARI,MANOKWARI SELATAN,,SOWI 4
UNIPA-2012MA-AU003,UNIPA-2012MA-AU003-AM,27 MEI-06 JUNI 2012,WAWANCARA DAN OBSERVASI,1 MINGGU,"25 %, 17 KK",,AM,,,"02°51'51,20''","13°427'25,21''",,ID,PAPUA,WEST PAPUA,TELUK WONDAMA,KURI WAMESA,,AMBUMI
UNIPA-2012BK-AU004,UNIPA-2012BK-AU004-SE,16-30 OKTOBER 2011,OBSERVASI,2 MINGGU,"5 %, 6 KK",,SE,,,,,,ID,PAPUA,PAPUA,KEPULAUAN YAPEN,POOM,,SEREWEN
UNIPA-2006CM-AU005,UNIPA-2006CM-AU005-SA,19 MEI-20 JUNI 2006,WAWANCARA DAN OBSERVASI,1 BULAN,"93 KK, 12 KK",,SA,,,4°-7°,137°-141°,,ID,PAPUA,PAPUA,ASMAT,SAWA ERMA,,SAWA
UNIPA-2012ON-AU006,UNIPA-2012ON-AU006-ME,24 MEI-6 JUNI 2011,WAWANCARA DAN OBSERVASI,2 MINGGU,"25%, 33 KK 8 KK,48 KK 12 DAN 29 KK 7 KK",,ME,,,00°50'30'',133°32'00'',,ID,PAPUA,WEST PAPUA,MANOKWARI,MASNI,,"MEYOF, WARAMUI, WARIKI"
UNIPA-2005EP-AU007,UNIPA-2005EP-AU007-AN,24 OKTOBER-9 NOVEMBER 2004,WAWANCARA DAN OBSERVASI,2 MINGGU,5 RESPONDEN KUNCI,,AN,,,1°06',133°93',,ID,PAPUA,WEST PAPUA,MANOKWARI,MINYAMBOUW,,"ANGGRA, SIMERBEI"
UNIPA-2006LS-AU008,UNIPA-2006LS-AU008-BO,27 MEI-07 JUNI 2006,WAWANCARA DAN OBSERVASI,10 HARI,PURPOSIVE,,BO,,,,,,ID,PAPUA,WEST PAPUA,MANOKWARI,MANOKWARI BARAT,,PERMUKIMAN BOROBUDUR
UNIPA-2016KM-AU009,UNIPA-2016KM-AU009-WO,10-23 JUNI 2016,WAWANCARA DAN OBSERVASI,2 MINGGU,PURPOSIVE,,WO,,,,,,ID,PAPUA,WEST PAPUA,BIAK NUMFOR,ANDEI,,WOUNA
UNIPA-2016RM-AU010,UNIPA-2016RM-AU010-SE,JUNI-AGUSTUS 2015,WAWANCARA DAN OBSERVASI,3 BULAN,PURPOSIVE,,SE,,,,,,ID,PAPUA,WEST PAPUA,MAYBRAT,AYAMARU SELATAN,,SEMBARO
