parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
IPB-2000BH-DS001,IPB-2000BH-DS001-PLHT,1999-08/12,line transect,11 plot with distance 100 m,250,meters,,,,,,,ID,Sumatra,Jambi,,,,Plot Hutan Terbuka for Pteridophyta
IPB-2000BH-DS001,IPB-2000BH-DS001-PLHM,1999-08/12,line transect,1 plot,250,meters,,,,,,,ID,Sumatra,Jambi,,,,Plot Hutan Muda  for Pteridophyta
IPB-2000BH-DS001,IPB-2000BH-DS001-PLSM,1999-08/12,line transect,1 plot,250,meters,,,,,,,ID,Sumatra,Jambi,,,,Plot Semak Belukar  for Pteridophyta
IPB-2000BH-DS001,IPB-2000BH-DS001-PH,1999-08/12,line transect,13 plot,250,meters,,,,,,,ID,Sumatra,Jambi,,,,Plot Pohon
IPB-2015AR-DS002,IPB-2015AR-DS002-LHEPMW,2013-03,purposive sampling,3 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Epifit | Plot Hutan Primer Mandalawangi
IPB-2015AR-DS002,IPB-2015AR-DS002-LHEPGB,2013-03,purposive sampling,3 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Epifit | Plot Hutan Primer Gunung Bunder
IPB-2015AR-DS002,IPB-2015AR-DS002-LHEPiRGB,2013-03,purposive sampling,3 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Epifit | Plot Hutan Pinus-Rasamala Gunung Bunder
IPB-2015AR-DS002,IPB-2015AR-DS002-LHETHeCB,2013-03,purposive sampling,4 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Epifit | Plot Arboretum Hutan Tanaman Heterogen
IPB-2015AR-DS002,IPB-2015AR-DS002-LHEPiCB,2013-03,purposive sampling,2 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Epifit | Plot Arboretum Hutan Pinus
IPB-2015AR-DS002,IPB-2015AR-DS002-LHSPMW,2013-03,purposive sampling,3 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Sejati | Plot Hutan Primer Mandalawangi
IPB-2015AR-DS002,IPB-2015AR-DS002-LHSPGB,2013-03,purposive sampling,3 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Sejati | Plot Hutan Primer Gunung Bunder
IPB-2015AR-DS002,IPB-2015AR-DS002-LHSPiRGB,2013-03,purposive sampling,3 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Sejati | Plot Hutan Pinus-Rasamala Gunung Bunder
IPB-2015AR-DS002,IPB-2015AR-DS002-LHSTHeCB,2013-03,purposive sampling,4 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Sejati | Plot Arboretum Hutan Tanaman Heterogen
IPB-2015AR-DS002,IPB-2015AR-DS002-LHSPiCB,2013-03,purposive sampling,2 plot | 500 m,900,meters,,,,,,,ID,Java,West Java,,,,Lumut Hutan Sejati | Plot Arboretum Hutan Pinus
IPB-2011DA-DS003,IPB-2011DA-DS003-LTPSRC,2010-06/07,combination of line transect and plot,15 line | 2000 m,4,meters,,,,,,,ID,Java,West Java,,,,Vegetation Analisis by combination of line transect and plot for semai on Resort Cigugur
