parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN001,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pengambilan sampel pada sat surut air laut,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN002,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN003,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN004,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN005,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN006,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN007,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN008,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN009,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
UNIPA-2015YK-HS024,UNIPA-2015YK-HS024-MN010,2014-03/2014-07,Garis Transek Menggunakan kuadran,Pendekatan petak contoh yang berada pada stasiun,?,Individu,Manokwari,,,-0.908374,134.099664,WGS84,ID,PAPUA,Papua barat,Mnokwari,manokwari Timur,Mansinam,didalam skripsi tidak disebutkan jumlah individu
