parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,identificationReferences,remarks
USU-2016MM-MU001,USU-2016MM-MU001-ST001,2016-04,Purpose sampling,using net with 3 repetition,48,metre square,ST001,,,2.7050528,99.6041306,WGS84,ID,Sumatra,North Sumatra,Asahan,Desa Pulo Raja,Asahan river,"Freshwater Fishes of Western Indonesia and Sulawesi. Kottelat, M., et. al. 1996.",
USU-2016MM-MU001,USU-2016MM-MU001-ST002,2016-04,Purpose sampling,using net with 3 repetition,48,metre square,ST002,,,2.70335,99.6172806,WGS84,ID,Sumatra,North Sumatra,Asahan,Desa Pulo Raja,Asahan river,"Freshwater Fishes of Western Indonesia and Sulawesi. Kottelat, M., et. al. 1996.",
USU-2016MM-MU001,USU-2016MM-MU001-ST003,2016-04,Purpose sampling,using net with 3 repetition,48,metre square,ST003,,,2.7059722,99.6242806,WGS84,ID,Sumatra,North Sumatra,Asahan,Desa Pulo Raja,Asahan river,"Freshwater Fishes of Western Indonesia and Sulawesi. Kottelat, M., et. al. 1996.",
USU-2016MM-MU001,USU-2016MM-MU001-ST004,2016-04,Purpose sampling,using net with 3 repetition,48,metre square,ST004,,,2.7041861,99.6260694,WGS84,ID,Sumatra,North Sumatra,Asahan,Desa Pulo Raja,Asahan river,"Freshwater Fishes of Western Indonesia and Sulawesi. Kottelat, M., et. al. 1996.",
USU-2016VP-MU002,USU-2016VP-MU002-ST001,2016-02,Purpose sampling,using fish trap with 5 repetition,57.336,metre square,ST001,,,2.7400111,98.7824444,WGS84,ID,Sumatra,North Sumatra,Samosir,Desa Marlumba,Toba Lake,,
USU-2016VP-MU002,USU-2016VP-MU002-ST002,2016-02,Purpose sampling,using fish trap with 5 repetition,57.336,metre square,ST002,,,2.7099361,98.81155,WGS84,ID,Sumatra,North Sumatra,Samosir,Desa Marlumba,Toba Lake,,
USU-2016VP-MU002,USU-2016VP-MU002-ST003,2016-02,Purpose sampling,using fish trap with 5 repetition,57.336,metre square,ST003,,,2.73045,98.7965972,WGS84,ID,Sumatra,North Sumatra,Samosir,Desa Marlumba,Toba Lake,,
USU-2016SD-MU003,USU-2016SD-MU003-L001,2015-03/2015-04,Exploratory survey,± 4 km by foot with 2 repetition,4,kilometre,L001,,,3.5485556,98.1208611,WGS84,ID,Sumatra,North Sumatra,Langkat,Kecamatan Bahorok,PPOS Bukit Lawang Taman Nasional Gunung Leuser area,"Pratical Guide to the Butterflies of Bogor Botanic Garden. Peggie, D. &  Amir, M. 2006. | Butterflies of the Oriental Region. D’Abrera, B. 1985. |Danaidae. In: Tsukada E (ed.) Butterflies of the South East Asian Islands 2 (Japanese version).  Morishita, K. 1981. | Nymphalidae (1). In: Tsukada E (ed.) Butterflies of the South East Asian Islands 4 (Japanese version). Tsukada, E., Nishiyama, Y. and Kaneko, M. 1985. | Pieridae. In: Tsukada E (ed.) Butterflies of the South East Asian Islands 2 (Japanese version). Yata, O. 1981. | Butterflies of Lowland East Kalimantan and Their Potential to Assess the Quality of Reforestation Attempt. Harmonis. 2013. | The Complete Field Guide to Butterflies of Australia. Braby, MF. 2004. | www.ifoundbutterflies.org",
USU-2016SD-MU003,USU-2016SD-MU003-L002,2015-03/2015-04,Exploratory survey,± 4 km by foot with 2 repetition,4,kilometre,L002,,,3.5484167,98.1203611,WGS84,ID,Sumatra,North Sumatra,Langkat,Kecamatan Bahorok,PPOS Bukit Lawang Taman Nasional Gunung Leuser area,"Pratical Guide to the Butterflies of Bogor Botanic Garden. Peggie, D. &  Amir, M. 2006. | Butterflies of the Oriental Region. D’Abrera, B. 1985. |Danaidae. In: Tsukada E (ed.) Butterflies of the South East Asian Islands 2 (Japanese version).  Morishita, K. 1981. | Nymphalidae (1). In: Tsukada E (ed.) Butterflies of the South East Asian Islands 4 (Japanese version). Tsukada, E., Nishiyama, Y. and Kaneko, M. 1985. | Pieridae. In: Tsukada E (ed.) Butterflies of the South East Asian Islands 2 (Japanese version). Yata, O. 1981. | Butterflies of Lowland East Kalimantan and Their Potential to Assess the Quality of Reforestation Attempt. Harmonis. 2013. | The Complete Field Guide to Butterflies of Australia. Braby, MF. 2004. | www.ifoundbutterflies.org",
USU-2016SD-MU003,USU-2016SD-MU003-L003,2015-03/2015-04,Exploratory survey,± 8 km by foot with 2 repetition,8,kilometre,L003,,,3.5485556,98.1208611,WGS84,ID,Sumatra,North Sumatra,Langkat,Kecamatan Bahorok,PPOS Bukit Lawang Taman Nasional Gunung Leuser area,"Pratical Guide to the Butterflies of Bogor Botanic Garden. Peggie, D. &  Amir, M. 2006. | Butterflies of the Oriental Region. D’Abrera, B. 1985. |Danaidae. In: Tsukada E (ed.) Butterflies of the South East Asian Islands 2 (Japanese version).  Morishita, K. 1981. | Nymphalidae (1). In: Tsukada E (ed.) Butterflies of the South East Asian Islands 4 (Japanese version). Tsukada, E., Nishiyama, Y. and Kaneko, M. 1985. | Pieridae. In: Tsukada E (ed.) Butterflies of the South East Asian Islands 2 (Japanese version). Yata, O. 1981. | Butterflies of Lowland East Kalimantan and Their Potential to Assess the Quality of Reforestation Attempt. Harmonis. 2013. | The Complete Field Guide to Butterflies of Australia. Braby, MF. 2004. | www.ifoundbutterflies.org",
