parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UI-2005RW-RL001,UI-2005RW-RL001-BS001,2004-09/2005-03,Broad survey,"by walking through locations that are easy to walk and all types of musci found on the ground, bark, rocks, and on the cliff walls are collected as samples",6,months,BS001,,,-6.7388889,107.0111111,,ID,Java,West Java,Kabupaten Cianjur,Cibodas Botanical Garden,Garden Collection,"The musci parts taken include complete gametophytes in the form of leaves to rhizoid, and sporophyte bodies if present"
UI-2005RW-RL001,UI-2005RW-RL001-BS002,2004-09/2005-03,Broad survey,"by walking through locations that are easy to walk and all types of musci found on the ground, bark, rocks, and on the cliff walls are collected as samples",6,months,BS001,,,-6.7388889,107.0111111,,ID,Java,West Java,Kabupaten Cianjur,Cibodas Botanical Garden,Forest in the Cibodas Botanical Garden,"The musci parts taken include complete gametophytes in the form of leaves to rhizoid, and sporophyte bodies if present"
UI-2005RW-RL001,UI-2005RW-RL001-BS003,2004-09/2005-03,Broad survey,"by walking through locations that are easy to walk and all types of musci found on the ground, bark, rocks, and on the cliff walls are collected as samples",6,months,BS001,,,-6.7388889,107.0111111,,ID,Java,West Java,Kabupaten Cianjur,Cibodas Botanical Garden,Around the Cibogo waterfall,"The musci parts taken include complete gametophytes in the form of leaves to rhizoid, and sporophyte bodies if present"
UI-2000NH-RL002,UI-2000NH-RL002-PS001,1999-02/1999-03,Purposive sampling,Butterflies that are taking nectar on the observed flowers are recorded and captured with the insect net as a sample,3 | 2,hours per day | Times per location,PS001,,,-6.3458333,106.8208333,,ID,Java,West Java,Kota Depok,Universitas Indonesia,FMIPA | FKM | Balairung | Rektorat | MUI | FH | Fpsikologi | FISIP | FS | Fasilkom | FE | FT | POLITEKNIK,Abundance of the individual number of flowers observed at the study site was calculated
UI-2006MU-RL003,UI-2006MU-RL003-PPA001,2005-11-08/2005-11-10,Purposive sampling,by walking along the beach | Kitahara's plankton net is pulled vertically with a depth of about 0.5-0.8 m twice,8,hours per day,PPA001,,,-5.6463611,106.5625833,,ID,Java,West Java,DKI Jakarta,"Panjang Besar Beach, The Thousand Island",Perairan Pantai Point A,Perairan Pantai Point A with vertical sampling
UI-2006MU-RL003,UI-2006MU-RL003-PPA002,2005-11-08/2005-11-10,Purposive sampling,by walking along the beach | Kitahara's plankton net is pulled horizontally with a depth of about 1-2 m from the beach floor twice,8,hours per day,PPA002,,,-5.6463611,106.5625833,,ID,Java,West Java,DKI Jakarta,"Panjang Besar Beach, The Thousand Island",Perairan Pantai Point A,Perairan Pantai Point A with horizontal sampling
UI-2006MU-RL003,UI-2006MU-RL003-PPB001,2005-11-08/2005-11-10,Purposive sampling,by walking along the beach | Kitahara's plankton net is pulled vertically with a depth of about 0.5-0.8 m twice,8,hours per day,PPB001,,,-5.6451111,106.5649167,,ID,Java,West Java,DKI Jakarta,"Panjang Besar Beach, The Thousand Island",Perairan Pantai Point B,Perairan Pantai Point B with vertical sampling
UI-2006MU-RL003,UI-2006MU-RL003-PPB002,2005-11-08/2005-11-10,Purposive sampling,by walking along the beach | Kitahara's plankton net is pulled horizontally with a depth of about 1-2 m from the beach floor twice,8,hours per day,PPB002,,,-5.6451111,106.5649167,,ID,Java,West Java,DKI Jakarta,"Panjang Besar Beach, The Thousand Island",Perairan Pantai Point A,Perairan Pantai Point B with horizontal sampling
UI-2006MU-RL003,UI-2006MU-RL003-PPC001,2005-11-08/2005-11-10,Purposive sampling,by walking along the beach | Kitahara's plankton net is pulled vertically with a depth of about 0.5-0.8 m twice,8,hours per day,PPC001,,,-5.6434722,106.5641389,,ID,Java,West Java,DKI Jakarta,"Panjang Besar Beach, The Thousand Island",Perairan Pantai Point C,Perairan Pantai Point C with vertical sampling
UI-2006MU-RL003,UI-2006MU-RL003-PPC002,2005-11-08/2005-11-10,Purposive sampling,by walking along the beach | Kitahara's plankton net is pulled horizontally with a depth of about 1-2 m from the beach floor twice,8,hours per day,PPC002,,,-5.6434722,106.5641389,,ID,Java,West Java,DKI Jakarta,"Panjang Besar Beach, The Thousand Island",Perairan Pantai Point A,Perairan Pantai Point C with horizontal sampling
