parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UI-2010FR-RL024,UI-2010FR-RL024-S1T1K4,2010-06,Satratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S1T1K4,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the mangrove forest | station 1, transect 4, plot 4"
UI-2010FR-RL024,UI-2010FR-RL024-S1T1K5,2010-06,Satratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S1T1K5,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the mangrove forest | station 1, transect 4, plot 5"
UI-2010FR-RL024,UI-2010FR-RL024-S1T2K4,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S1T2K4,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the mangrove forest | station 1, transect 4, plot 4"
UI-2010FR-RL024,UI-2010FR-RL024-S1T2K5,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S1T2K5,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the mangrove forest | station 1, transect 4, plot 5"
UI-2010FR-RL024,UI-2010FR-RL024-S1T3K4,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S1T3K4,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the mangrove forest | station 1, transect 4, plot 4"
UI-2010FR-RL024,UI-2010FR-RL024-S1T3K5,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S1T3K5,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the mangrove forest | station 1, transect 4, plot 5"
UI-2010FR-RL024,UI-2010FR-RL024-S2T1K1,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S2T1K1,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the coconut garden | station 2, transect 1, plot 1"
UI-2010FR-RL024,UI-2010FR-RL024-S2T1K2,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S2T1K2,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the coconut garden | station 2, transect 1, plot 2"
UI-2010FR-RL024,UI-2010FR-RL024-S2T1K3,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S2T1K3,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the coconut garden | station 2, transect 1, plot 3"
UI-2010FR-RL024,UI-2010FR-RL024-S2T1K4,2010-06,Stratified systematic sampling,the distance between kuadrat is 10 m | the distance between transect is 50 m,1,square metre,S2T1K4,,,-0.2333333,78.7666667,,ID,Sumatera,West Sumatera,Kota Padang,Sungai Pisang,Teluk Sungai Pisang,"in front of the coconut garden | station 2, transect 1, plot 4"
