parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,identificationReferences,remarks
IPB-2000WN-RN001,IPB-2000WN-RN001-SCIKk,1999-06-14/1999-07-14,Electrofishing | Serok,10 stations; each 1 hour sampling,20,metre,SCIKk,-,-,-6.6166667/-6.85,106.35/106.6333333,WGS84,ID,Java,West Java,Kabupaten Bogor,-,Di hulu Sungai Cikaniki,"A Revision of Indomalayan Freshwater Fish, Genus Rasbora. Britan, MR. 1954. | Catalog of The Genera of Recent Fishes. Eschemeyer,WN. 1990. | The Fresh-Water Fishes of North Borneo. Inger, RF & PK Chin. 1962. | Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993. | Freshwater Fishes of Western Indonesia and Sulawesi; Addition and Corrections. Kottelat, M & AJ Whitten. 1996. | Freshwater Biodiversity in Asia with Special Reference to Fish. Anonim. 1996. | Fauna Ikan di Sungai Cikaniki, Taman Nasional Gunung Halimun. Rachmatika, I. 1998. | Survey Fauna Ikan di Sekitar Kawasan Taman Nasional Gunung Halimun Bagian Selatan. Rachmatika, I & MF Rahardjo. 1999. | The Freshwater Fishes of Java, As Observed by Kuhl & van Hassel in 1820-1823. Robert, TR. 1993. | Local Common Names of Indonesia Fishes. Schuster, WH & RR Djajadiredja. 1852. | Freshwater Fishes of The World. Sterba, G. 1966.","Sungai Cikaniki, musim kemarau"
IPB-2000WN-RN001,IPB-2000WN-RN001-SCIKh,1995-12-27/1996-01-05,Electrofishing | Serok,5 stations; each 1 hour sampling,20,metre,SCIKh,-,-,-6.6166667/-6.86,106.35/106.6333334,WGS84,ID,Java,West Java,Kabupaten Bogor,-,Di hulu Sungai Cikaniki,"A Revision of Indomalayan Freshwater Fish, Genus Rasbora. Britan, MR. 1954. | Catalog of The Genera of Recent Fishes. Eschemeyer,WN. 1990. | The Fresh-Water Fishes of North Borneo. Inger, RF & PK Chin. 1962. | Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993. | Freshwater Fishes of Western Indonesia and Sulawesi; Addition and Corrections. Kottelat, M & AJ Whitten. 1996. | Freshwater Biodiversity in Asia with Special Reference to Fish. Anonim. 1996. | Fauna Ikan di Sungai Cikaniki, Taman Nasional Gunung Halimun. Rachmatika, I. 1998. | Survey Fauna Ikan di Sekitar Kawasan Taman Nasional Gunung Halimun Bagian Selatan. Rachmatika, I & MF Rahardjo. 1999. | The Freshwater Fishes of Java, As Observed by Kuhl & van Hassel in 1820-1823. Robert, TR. 1993. | Local Common Names of Indonesia Fishes. Schuster, WH & RR Djajadiredja. 1852. | Freshwater Fishes of The World. Sterba, G. 1966.","Sungai Cikaniki, musim hujan (penelitian sebelumnya)"
IPB-2000WN-RN001,IPB-2000WN-RN001-SCISk,1999-06-14/1999-07-14,Electrofishing | Serok,10 stations; each 1 hour sampling,20,metre,SCISk,-,-,-6.6166667/-6.87,106.35/106.6333335,WGS84,ID,Java,West Java,Kabupaten Bogor,-,Di hulu Cisukawayana,"A Revision of Indomalayan Freshwater Fish, Genus Rasbora. Britan, MR. 1954. | Catalog of The Genera of Recent Fishes. Eschemeyer,WN. 1990. | The Fresh-Water Fishes of North Borneo. Inger, RF & PK Chin. 1962. | Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993. | Freshwater Fishes of Western Indonesia and Sulawesi; Addition and Corrections. Kottelat, M & AJ Whitten. 1996. | Freshwater Biodiversity in Asia with Special Reference to Fish. Anonim. 1996. | Fauna Ikan di Sungai Cikaniki, Taman Nasional Gunung Halimun. Rachmatika, I. 1998. | Survey Fauna Ikan di Sekitar Kawasan Taman Nasional Gunung Halimun Bagian Selatan. Rachmatika, I & MF Rahardjo. 1999. | The Freshwater Fishes of Java, As Observed by Kuhl & van Hassel in 1820-1823. Robert, TR. 1993. | Local Common Names of Indonesia Fishes. Schuster, WH & RR Djajadiredja. 1852. | Freshwater Fishes of The World. Sterba, G. 1966.","Sungai Cisukawayana, musim kemarau"
IPB-2000WN-RN001,IPB-2000WN-RN001-SCISh,1999-02-23/1999-03-12,Electrofishing | Serok,5 stations; each 1 hour sampling,20,metre,SCISh,-,-,-6.6166667/-6.88,106.35/106.6333336,WGS84,ID,Java,West Java,Kabupaten Bogor,-,Di hulu Cisukawayana,"A Revision of Indomalayan Freshwater Fish, Genus Rasbora. Britan, MR. 1954. | Catalog of The Genera of Recent Fishes. Eschemeyer,WN. 1990. | The Fresh-Water Fishes of North Borneo. Inger, RF & PK Chin. 1962. | Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993. | Freshwater Fishes of Western Indonesia and Sulawesi; Addition and Corrections. Kottelat, M & AJ Whitten. 1996. | Freshwater Biodiversity in Asia with Special Reference to Fish. Anonim. 1996. | Fauna Ikan di Sungai Cikaniki, Taman Nasional Gunung Halimun. Rachmatika, I. 1998. | Survey Fauna Ikan di Sekitar Kawasan Taman Nasional Gunung Halimun Bagian Selatan. Rachmatika, I & MF Rahardjo. 1999. | The Freshwater Fishes of Java, As Observed by Kuhl & van Hassel in 1820-1823. Robert, TR. 1993. | Local Common Names of Indonesia Fishes. Schuster, WH & RR Djajadiredja. 1852. | Freshwater Fishes of The World. Sterba, G. 1966.","Sungai Cisukawayana, musim hujan (penelitian sebelumnya)"
IPB-2006ES-RN002,IPB-2006ES-RN002-ST1,2005-07-05/06 | 2005-07-19/20 | 2005-08-03/04 | 2005-08-17,Electrofishing | Serok,4 times sampling; each 1.5 hour sampling,150,metre,ST1,-,-,-6.6991,106.9876,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Cisarua,Mesjid At Ta'awun (hulu Sungai Ciliwung),"Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993.",Station 1
IPB-2006ES-RN002,IPB-2006ES-RN002-ST2,2005-07-05/06 | 2005-07-19/20 | 2005-08-03/04 | 2005-08-17,Electrofishing | Serok,4 times sampling; each 1.5 hour sampling,150,metre,ST2,-,-,-6.6894,106.9761,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Cisarua,Desa Neglasari RT 01/RW 04 (hulu Sungai Ciliwung),"Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993.",Station 2
IPB-2006ES-RN002,IPB-2006ES-RN002-ST3,2005-07-05/06 | 2005-07-19/20 | 2005-08-03/04 | 2005-08-17,Electrofishing | Serok,4 times sampling; each 1.5 hour sampling,150,metre,ST3,-,-,-6.6667,106.9325,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Cisarua,Desa Jogjogan (Jembatan Hankam: hulu Sungai Ciliwung),"Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993.",Station 3
IPB-2006ES-RN002,IPB-2006ES-RN002-ST4,2005-07-05/06 | 2005-07-19/20 | 2005-08-03/04 | 2005-08-17,Electrofishing | Serok,4 times sampling; each 1.5 hour sampling,150,metre,ST4,-,-,-6.6557,106.8957,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Cisarua,Desa Kopo (Jembatan Nusa Dua: hulu Sungai Ciliwung),"Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993.",Station 4
IPB-2006ES-RN002,IPB-2006ES-RN002-ST5,2005-07-05/06 | 2005-07-19/20 | 2005-08-03/04 | 2005-08-17,Electrofishing | Serok,4 times sampling; each 1.5 hour sampling,150,metre,ST5,-,-,-6.6526,106.8687,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Megamendung,Bendungan Cibalok (hulu Sungai Ciliwung),"Freshwater Fishes of Westen Indonesia and Sulawesi-Ikan Air Tawar Indonesia Bagian Barat dan Sulawesi. Kottelat, M et al. 1993.",Station 5
IPB-2000LS-RN003,IPB-2000LS-RN003-ST1,1999-08 | 1999-10 | 2000-01,Surber,3 times sampling,1600,centimetre square,ST1,-,-,-7.345,107.800,WGS84,ID,Java,West Java,Kabupaten Garut,Kecamatan Cikajang,Desa Mekarsari (hulu Sungai Cimanuk),"Revision of Freshwater Gastropods. Jutting, W & SV Bethem. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Freshwater Invertebrates of the United States. Pennak, RW. 1989.",Station 1
