parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,identificationReferences,remarks
IPB-2002SK-RN011,IPB-2002SK-RN011-ST1,2000-06 | 2000-09 | 2000-11,Surber,3 times sampling,900,centimetre square,ST1,-,-,-6.659,106.565,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Nanggung,Desa Bantar Karet (Intake PT ANTAM Pongkor: hulu Sungai Cikaniki),"Aquatic Diptera: Eggs, larvae, and pupa of aquatic files. Johannsen, OA. 1970. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Station 1
IPB-2002SK-RN011,IPB-2002SK-RN011-ST2,2000-06 | 2000-09 | 2000-11,Surber,3 times sampling,900,centimetre square,ST2,-,-,-6.562,106.573,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Leuwiliang,Desa Sadeng,"Aquatic Diptera: Eggs, larvae, and pupa of aquatic files. Johannsen, OA. 1970. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Station 2
IPB-2002SK-RN011,IPB-2002SK-RN011-ST3,2000-06 | 2000-09 | 2000-11,Surber,3 times sampling,900,centimetre square,ST3,-,-,-6.539,106.643,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Leuwiliang,Desa Karehkel (Cianten: sebelum pertemuan Sungai Cisadane),"Aquatic Diptera: Eggs, larvae, and pupa of aquatic files. Johannsen, OA. 1970. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Station 3
IPB-2002CT-RN012,IPB-2002CT-RN012-ST1,1998-12 | 2000-07,Surber,2 times sampling; each station 5 times repetition,1600,centimetre square,ST1,-,-,-6.7018,106.8166,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Caringin,Jembatan Maseng: hulu Sungai Cisadane),"A Guide to Study of Freshwater Biology. Needham, JG & P. Needham. 1962. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Freshwater biology. Ward, HB & GC Wipple. 1963.",Station 1
IPB-2002CT-RN012,IPB-2002CT-RN012-ST2,1998-12 | 2000-07,Surber,2 times sampling; each station 5 times repetition,1600,centimetre square,ST2,-,-,-6.5371,106.6990,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Ranca Bungur,Desa Rancabungur (Jembatan Ciampea: tengah Sungai Cisadane),"A Guide to Study of Freshwater Biology. Needham, JG & P. Needham. 1962. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Freshwater biology. Ward, HB & GC Wipple. 1963.",Station 2
IPB-2002CT-RN012,IPB-2002CT-RN012-ST3,1998-12 | 2000-07,Surber,2 times sampling; each station 5 times repetition,1600,centimetre square,ST3,-,-,-6.4577,106.6543,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Ciseeng,Desa Putat Nutug Parung (Jembatan Grendong: hilir Sungai Cisadane),"A Guide to Study of Freshwater Biology. Needham, JG & P. Needham. 1962. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Freshwater biology. Ward, HB & GC Wipple. 1963.",Station 3
IPB-2003DR-RN013,IPB-2003DR-RN013-ST1,2000-05-08 | 2000-06-06 | 2000-06-26,Petersen grab,3 times sampling; each station 3 times repetition,300,centimetre square,ST1,-,-,-6.3913,106.8164,WGS84,ID,Java,West Java,Kota Depok,Kecamatan Pancoran Mas,Kampung Lio (sebelah utara Situ Rawa Besar: di bagian outlet),"Revision of freshwater gastropods. Jutting, WSSVB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Avertebrata Air. Suwignyo, S et al. 1998.",Station 1
IPB-2003DR-RN013,IPB-2003DR-RN013-ST2,2000-05-08 | 2000-06-06 | 2000-06-26,Petersen grab,3 times sampling; each station 3 times repetition,300,centimetre square,ST2,-,-,-6.3925,106.8160,WGS84,ID,Java,West Java,Kota Depok,Kecamatan Pancoran Mas,Kampung Lio (sebelah barat Situ Rawa Besar: di bagian inlet),"Revision of freshwater gastropods. Jutting, WSSVB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Avertebrata Air. Suwignyo, S et al. 1998.",Station 2
IPB-2003DR-RN013,IPB-2003DR-RN013-ST3,2000-05-08 | 2000-06-06 | 2000-06-26,Petersen grab,3 times sampling; each station 3 times repetition,300,centimetre square,ST3,-,-,-6.3950,106.8161,WGS84,ID,Java,West Java,Kota Depok,Kecamatan Pancoran Mas,Kampung Lio (sebelah timur Situ Rawa Besar),"Revision of freshwater gastropods. Jutting, WSSVB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Avertebrata Air. Suwignyo, S et al. 1998.",Station 3
IPB-2003DR-RN013,IPB-2003DR-RN013-ST4,2000-05-08 | 2000-06-06 | 2000-06-26,Petersen grab,3 times sampling; each station 3 times repetition,300,centimetre square,ST4,-,-,-6.3957,106.8158,WGS84,ID,Java,West Java,Kota Depok,Kecamatan Pancoran Mas,Kampung Lio (di bagian tengah Situ Rawa Besar),"Revision of freshwater gastropods. Jutting, WSSVB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Avertebrata Air. Suwignyo, S et al. 1998.",Station 4
IPB-2003DR-RN013,IPB-2003DR-RN013-ST5,2000-05-08 | 2000-06-06 | 2000-06-26,Petersen grab,3 times sampling; each station 3 times repetition,300,centimetre square,ST5,-,-,-6.3973,106.8159,WGS84,ID,Java,West Java,Kota Depok,Kecamatan Pancoran Mas,Kampung Lio (dekat pembuangan sampah domestik dan tumbuhan air Situ Rawa Besar),"Revision of freshwater gastropods. Jutting, WSSVB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978. | Avertebrata Air. Suwignyo, S et al. 1998.",Station 5
IPB-2004SR-RN014,IPB-2004SR-RN014-ZN1,2004-05-06/16,Petersen grab,consist 9 substations; 3 times repetition,400,centimetre square,ZN1,-,-,-6.5460,106.7322,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Dramaga,Desa Cikarawang (Situ Burung),"Treubia: A journal of zoology, hydrobiology, and oceanography of The Indo-Australian Archipelago. Jutting, VB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Zona 1
IPB-2004SR-RN014,IPB-2004SR-RN014-ZN2,2004-05-06/16,Petersen grab,consist 9 substations; 3 times repetition,400,centimetre square,ZN2,-,-,-6.5470,106.7324,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Dramaga,Desa Cikarawang (Situ Burung),"Treubia: A journal of zoology, hydrobiology, and oceanography of The Indo-Australian Archipelago. Jutting, VB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Zona 2
IPB-2004SR-RN014,IPB-2004SR-RN014-ZN3,2004-05-06/16,Petersen grab,consist 8 substations; 3 times repetition,400,centimetre square,ZN3,-,-,-6.5473,106.7329,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Dramaga,Desa Cikarawang (Situ Burung),"Treubia: A journal of zoology, hydrobiology, and oceanography of The Indo-Australian Archipelago. Jutting, VB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Zona 3
IPB-2004SR-RN014,IPB-2004SR-RN014-ZN4,2004-05-06/16,Petersen grab,consist 7 substations; 3 times repetition,400,centimetre square,ZN4,-,-,-6.5475,106.7337,WGS84,ID,Java,West Java,Kabupaten Bogor,Kecamatan Dramaga,Desa Cikarawang (Situ Burung),"Treubia: A journal of zoology, hydrobiology, and oceanography of The Indo-Australian Archipelago. Jutting, VB. 1956. | Freshwater Invertebrates of the United States. Pennak, RW. 1978.",Zona 4
