parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
USU-2017RS-RS001,USU-2017RS-RS001-TR001,2016-05/07,Purposive sampling,100 plot with zigzag method in line transek,1000,metre square,TR001,,,3.2412528,98.527,WGS84,ID,Sumatra,north sumatra,Karo,Taman hutan raya bukit barisan,Deleng macik,
USU-2017YS-RS002,USU-2017YS-RS002-ST001,2016-07/08,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST001,,,2.9560556,99.124025,WGS84,ID,Sumatra,north sumatra,Simalungun,Karanganom,Aliran sungai Bah Bolon,subtrat  in station (sand and rock) and the dradging of sand and rock
USU-2017YS-RS002,USU-2017YS-RS002-ST002,2016-07/08,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST002,,,2.9582167,99.0737333,WGS84,ID,Sumatra,north sumatra,Simalungun,pemantang siantar,Aliran sungai Bah Bolon,subtrat  in station (sand and rock) and turism place
USU-2017YS-RS002,USU-2017YS-RS002-ST003,2016-07/08,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST003,,,2.9545194,99.0640833,WGS84,ID,Sumatra,north sumatra,Simalungun,pemantang siantar,Aliran sungai Bah Bolon,subtrat  in station (sand and rock) and containing waste hospital
USU-2017YS-RS002,USU-2017YS-RS002-ST004,2016-07/08,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST004,,,2.9423917,99.042575,WGS84,ID,Sumatra,north sumatra,Simalungun,pemantang siantar,Aliran sungai Bah Bolon,subtrat  in station (sand and rock) and near settlement
USU-2017JH-RS003,USU-2017JH-RS003-ST001,2016-11,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST001,,,3.3391306,98.5799778,WGS84,ID,Sumatra,north sumatra,Deli serdang,sibolangit,sembahe hulu,subtrat in station (sand and rock) and no activity (control)
USU-2017JH-RS003,USU-2017JH-RS003-ST002,2016-11,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST002,,,3.3449667,98.5923694,WGS84,ID,Sumatra,north sumatra,Deli serdang,sibolangit,sembahe hilir,subtrat in station (sand and rock) and turism place
USU-2017JH-RS003,USU-2017JH-RS003-ST003,2016-11,Purposive Random Sampling,30 repeat Using a fishing net,12.56,metre square,ST003,,,3.3470278,98.6029333,WGS84,ID,Sumatra,north sumatra,Deli serdang,sibolangit,batu mblin,subtrat  in station (sand) and the dradging of sand
USU-2017SS-RS004,USU-2017SS-RS004-ST001,2016-06,Purposive Random Sampling,10 repeat Using surber net,1,metre square,ST001,,,2.9966556,99.2943528,WGS84,ID,Sumatra,north sumatra,Simalungun,Tanah jawa,Hilir Sungai Bah Tongguran,The meeting of two Rivers
USU-2017SS-RS004,USU-2017SS-RS004-ST002,2016-06,Purposive Random Sampling,10 repeat Using surber net,1,metre square,ST002,,,2.99995,99.3003028,WGS84,ID,Sumatra,north sumatra,Simalungun,Tanah jawa,Hilir Sungai Bah Tongguran,there are PTPN4 (Plantation)
USU-2017SS-RS004,USU-2017SS-RS004-ST003,2016-06,Purposive Random Sampling,10 repeat Using surber net,1,metre square,ST003,,,3.00235,99.308575,WGS84,ID,Sumatra,north sumatra,Simalungun,Tanah jawa,Hilir Sungai Bah Tongguran,There are Dam
