parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UI-2012AM-TL028,UI-2012AM-TL028-ST01,2011,Bottom sampling dredge| Surber stream bottom sampler,5 months obervation,5,months,ST01,,,,,,ID,Java,West Java,Indonesia,Ciawi,Kali Pesanggrahan,
UI-2012AM-TL028,UI-2012AM-TL028-ST02,2011,Bottom sampling dredge| Surber stream bottom sampler,5 months obervation,5,months,ST02,,,,,,ID,Java,West Java,Indonesia,Depok,Kali Pesanggrahan,
UI-2012AM-TL028,UI-2012AM-TL028-ST03,2011,Bottom sampling dredge| Surber stream bottom sampler,5 months obervation,5,months,ST03,,,,,,ID,Java,DKI Jakarta,Indonesia,South Jakarta,Kali Pesanggrahan,
UI-2011AP-TL029,UI-2011AP-TL029-ST01,2011-03/05,Quadrant transect,2x2 metre quadrant transect,1,month,ST01,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,Near Faculty of Mathematic and Science
UI-2011AP-TL029,UI-2011AP-TL029-ST02,2011-03/05,Quadrant transect,2x2 metre quadrant transect,1,month,ST02,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,Inside Politeknik Negeri Jakarta
UI-2011AP-TL029,UI-2011AP-TL029-ST03,2011-03/05,Quadrant transect,2x2 metre quadrant transect,1,month,ST03,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,Near Faculty of psycology
UI-2011AP-TL029,UI-2011AP-TL029-ST04,2011-03/05,Line transect,,1,month,ST04,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan kota, Universitas Indonesia",
UI-2011AP-TL029,UI-2011AP-TL029-ST05,2011-03/05,Line transect,,1,month,ST05,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan kota, Universitas Indonesia",
UI-2011AP-TL029,UI-2011AP-TL029-ST06,2011-03/05,Line transect,,1,month,ST06,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan kota, Universitas Indonesia",
UI-2011AP-TL029,UI-2011AP-TL029-PL01,2011-03/05,Every animal that appear  male flower is recorded,Animal apperance recorded every 10 minutes from 5 pm until 7 pm for 2 days,2,days,PL01,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,
UI-2011AP-TL029,UI-2011AP-TL029-PL02,2011-03/05,Every animal that appear on female flower is recorded,Animal apperance recorded every 10 minutes from 5 pm until 7 pm for 2 days,2,days,PL02,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,
UI-2011AP-TL029,UI-2011AP-TL029-PL03,2011-03/05,Every animal that appear on osmophor is recorded,Animal apperance recorded every 10 minutes from 5 pm until 7 pm for 2 days,2,days,PL03,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,
UI-2011AP-TL029,UI-2011AP-TL029-PL04,2011-03/05,Every animal that appear around flower,Animal apperance recorded every 10 minutes from 5 pm until 7 pm for 2 days,2,days,PL04,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,
UI-2011MI-TL030,UI-2011MI-TL030-IN01,2010-12/2011-05,Every tree where slow loris was slept are recorded| Radio transmitter,Observation took 4 hours in the afternoon and 3 hours in the morning,6,months,IN01,,,,,,ID,Java,West Java,Indonesia,Bogor,"hutan Gunung Salak, Taman Nasional Gunung Halimun Salak","In this EventID, observation focused on 1 individual of slow loris and its sleeping sites"
UI-2011MI-TL030,UI-2011MI-TL030-IN02,2010-12/2011-05,Every tree where slow loris was slept are recorded| Radio transmitter,Observation took 4 hours in the afternoon and 3 hours in the morning,6,months,IN02,,,,,,ID,Java,West Java,Indonesia,Bogor,"hutan Gunung Salak, Taman Nasional Gunung Halimun Salak","In this EventID, observation focused on 1 individual of slow loris and its sleeping sites"
UI-2012EU-TL031,UI-2012EU-TL031-ST01,2011-05/07,Line transect,100 m observation,100,metre,ST01,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Kebun karet, Universitas Indonesia",near administrative center of Universitas Indonesia
UI-2012EU-TL031,UI-2012EU-TL031-ST02,2011-05/07,Line transect,200 m observation,200,metre,ST02,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Danau Agathis, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST03,2011-05/07,Line transect,100 m observation,100,metre,ST03,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,"near Faculty of Public Health, Universitas Indonesia"
UI-2012EU-TL031,UI-2012EU-TL031-ST04,2011-05/07,Line transect,100 m observation,100,metre,ST04,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,Universitas Indonesia,near boulevard of Universitas Indonesia
UI-2012EU-TL031,UI-2012EU-TL031-ST05,2011-05/07,Line transect,100 m observation,100,metre,ST05,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST06,2011-05/07,Line transect,100 m observation,100,metre,ST06,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST07,2011-05/07,Line transect,100 m observation,100,metre,ST07,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST08,2011-05/07,Line transect,100 m observation,100,metre,ST08,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST09,2011-05/07,Line transect,100 m observation,100,metre,ST09,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST10,2011-05/07,Line transect,100 m observation,100,metre,ST10,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012EU-TL031,UI-2012EU-TL031-ST11,2011-05/07,Line transect,100 m observation,100,metre,ST11,,,-6.3683199999999998,106.82949000000001,,ID,Java,West Java,Indonesia,Depok,"Hutan Kota, Universitas Indonesia",
UI-2012NH-TL033,UI-2012NH-TL033-EL01,2011-06-15/19,Quadrant sampling,5x5 m quadrant are placed along the track,5,days,EL01,,,-6.5333333/-6.9166667,106.2166667/106.7666667,,ID,Java,West Java,Indonesia,,"Gunung Kendeng, Taman Nasional Gunung Halimun Salak",1000--1100 mdpl
UI-2012NH-TL033,UI-2012NH-TL033-EL02,2011-06-15/19,Quadrant sampling,5x5 m quadrant are placed along the track,5,days,EL02,,,-6.5333333/-6.9166667,106.2166667/106.7666667,,ID,Java,West Java,Indonesia,,"Gunung Kendeng, Taman Nasional Gunung Halimun Salak",1100--1200 mdpl
UI-2012NH-TL033,UI-2012NH-TL033-EL03,2011-06-15/19,Quadrant sampling,5x5 m quadrant are placed along the track,5,days,EL03,,,-6.5333333/-6.9166667,106.2166667/106.7666667,,ID,Java,West Java,Indonesia,,"Gunung Kendeng, Taman Nasional Gunung Halimun Salak",1200--1300 mdpl
