parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
USU-2015MS-AH001,USU-2015MS-AH001-ST001,2014-07,Purposive Sampling,30 Repetitions,7065,Metre Square,ST001,,,2.9598806,99.8234889,WGS84,ID,Sumatra,Sumatera Utara,Tanjung Balai,Desa Pulau Simardan,Sungai Asahan,
USU-2015MS-AH001,USU-2015MS-AH001-ST002,2014-07,Purposive Sampling,30 Repetitions,7065,Metre Square,ST002,,,2.9723583,99.8068278,WGS84,ID,Sumatra,Sumatera Utara,Tanjung Balai,Kel. Kapias Pulau Buaya,Desa Esdengki,
USU-2015MS-AH001,USU-2015MS-AH001-ST003,2014-07,Purposive Sampling,30 Repetitions,7065,Metre Square,ST003,,,2.9841611,99.8066083,WGS84,ID,Sumatra,Sumatera Utara,Tanjung Balai,Kel. Kapias Pulau Buaya,Desa Sei Merbau,
USU-2015MS-AH001,USU-2015MS-AH001-ST004,2014-07,Purposive Sampling,30 Repetitions,7065,Metre Square,ST004,,,2.9853889,99.8025111,WGS84,ID,Sumatra,Sumatera Utara,Tanjung Balai,Kel. Perjuangan,Desa Rintis,
USU-2015TP-AH002,USU-2015TP-AH002-ST001,2012-06/07,Purposive Random Sampling,4 Hours Observation in a day,500,Metre,ST001,,,,,,ID,Sumatra,Sumatera Utara,Kab. Deli Serdang,Kec. Sibolangit,Desa Batu Mbelin,
USU-2015TP-AH002,USU-2015TP-AH002-ST002,2012-06/07,Purposive Random Sampling,4 Hours Observation in a day,500,Metre,ST002,,,,,,ID,Sumatra,Sumatera Utara,Kab. Deli Serdang,Kec. Sibolangit,Desa Batu Mbelin,
USU-2015TP-AH002,USU-2015TP-AH002-ST003,2012-06/07,Purposive Random Sampling,4 Hours Observation in a day,500,Metre,ST003,,,,,,ID,Sumatra,Sumatera Utara,Kab. Deli Serdang,Kec. Sibolangit,Desa Batu Mbelin,
USU-2014BS-AH003,USU-2014BS-AH003-ST001,2013-08,Purposive Random Sampling,9 Repetitions,30x30,Centimetre,ST001,,,1.4785833,99.0583889,WGS84,ID,Sumatra,Sumatera Utara,Kab. Tapanuli Selatan,Desa Sabaronggang,Aliran Sungai Batang Toru,
USU-2014BS-AH003,USU-2014BS-AH003-ST002,2013-08,Purposive Random Sampling,9 Repetitions,30x30,Centimetre,ST002,,,1.4682778,99.0511389,WGS84,ID,Sumatra,Sumatera Utara,Kab. Tapanuli Selatan,Desa Sabaronggang,Aliran Sungai Batang Toru,
USU-2014BS-AH003,USU-2014BS-AH003-ST003,2013-08,Purposive Random Sampling,9 Repetitions,30x30,Centimetre,ST003,,,1.4631389,99.0366667,WGS84,ID,Sumatra,Sumatera Utara,Kab. Tapanuli Selatan,Desa Sabaronggang,Aliran Sungai Batang Toru,
USU-2014JS-AH004,USU-2014JS-AH004-ST001,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST001,,,1.3390833,97.5871389,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014JS-AH004,USU-2014JS-AH004-ST002,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST002,,,1.3388611,97.5873056,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014JS-AH004,USU-2014JS-AH004-ST003,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST003,,,1.3385,97.5876111,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014ML-AH005,USU-2014ML-AH005-ST001,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST001,,,1.2493889,97.6458889,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014ML-AH005,USU-2014ML-AH005-ST002,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST002,,,1.2483056,97.6462778,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014ML-AH005,USU-2014ML-AH005-ST003,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST003,,,1.2448056,97.6491389,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014EP-AH006,USU-2014EP-AH006-ST001,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST001,,,1.3383611,97.58775,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014EP-AH006,USU-2014EP-AH006-ST002,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST002,,,1.3379861,97.5890556,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014EP-AH006,USU-2014EP-AH006-ST003,2013-07/08,Line Transect,5 line in 1 place,1x1,metre,ST003,,,1.3379639,97.5904167,WGS84,ID,Sumatra,Sumatera Utara,Kota Gunung Sitoli,Desa Sisarahili,Pantai Gamo,1 line has 5 plots
USU-2014AS-AH007,USU-2014AS-AH007-PL001,2011-05/07,Purposive Sampling,,20x50,metre,PL001,,,,,,ID,Sumatra,Sumatera Utara,Kab. Pakpak Bharat,,Kawasan Suaka Margasatwa Siranggas,
USU-2014RS-AH008,USU-2014RS-AH008-ST001,2011-03/07,Purposive Random Sampling,30 Repetitions,9.32,metre,ST001,,,3.3871944,99.4108611,WGS84,ID,Sumatra,Sumatera Utara,Kab. Batubara,Kec. Medang Deras,Perairan Kuala Tanjung,circumference is 9.32 metre
USU-2014RS-AH008,USU-2014RS-AH008-ST002,2011-03/07,Purposive Random Sampling,30 Repetitions,9.32,metre,ST002,,,3.3852222,99.4149167,WGS84,ID,Sumatra,Sumatera Utara,Kab. Batubara,Kec. Medang Deras,Perairan Kuala Tanjung,circumference is 9.32 metre
USU-2014RS-AH008,USU-2014RS-AH008-ST003,2011-03/07,Purposive Random Sampling,30 Repetitions,9.32,metre,ST003,,,3.38175,99.4156389,WGS84,ID,Sumatra,Sumatera Utara,Kab. Batubara,Kec. Medang Deras,Perairan Kuala Tanjung,circumference is 9.32 metre
USU-2014RS-AH008,USU-2014RS-AH008-ST004,2011-03/07,Purposive Random Sampling,30 Repetitions,9.32,metre,ST004,,,3.3689722,99.4449444,WGS84,ID,Sumatra,Sumatera Utara,Kab. Batubara,Kec. Medang Deras,Perairan Kuala Tanjung,circumference is 9.32 metre
