parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
IPB-2011HJ-MF005,IPB-2011HJ-MF005-RB001,2010-10-26/2011-3-10,Line transect,Binokular | 3 hours,8000,metre,RB,,,-06.2307694°,108.1816778°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,2000 m is line transect | 60 m is sub transect
IPB-2011HJ-MF005,IPB-2011HJ-MF005-PA002,2010-10-26/2011-3-10,Line transect,Binokular | 3 hours,8000,metre,PA,,,-06.2307694°,108.1816778°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,2000 m is line transect | 60 m is sub transect
IPB-2011HJ-MF005,IPB-2011HJ-MF005-CM003,2010-10-26/2011-3-10,Line transect,Binokular | 3 hours,8000,metre,CM,,,"6013’50,77” - -06.2412111°",108.2015028°-108.2241944°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,2000 m is line transect | 60 m is sub transect
IPB-2011HJ-MF005,IPB-2011HJ-MF005-SI004,2010-10-26/2011-3-10,Line transect,Binokular | 3 hours,2000,metre,SI,,,-06.5214556° - -06.5383806°,108.5097694° - 108.5311500°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,2000 m is line transect | 60 m is sub transect
IPB-2011HJ-MF005,IPB-2011HJ-MF005-PB005,2010-10-26/2011-3-10,Line transect,Binokular | 3 hours,8000,metre,PB,,,-06.2526750° - -06.2579917°,108.3067333° - 108.3202583°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,2000 m is line transect | 60 m is sub transect
IPB-2011HJ-MF005,IPB-2011HJ-MF005-MR001,2010-10-26/2011-3-10,Quadran,Corer,plot 1 x 1,metre,MR,,,-06.2307694°,108.1816778°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,"1x1 m quadrant placed at a distance of 0 m, 500 m and 1000 m from the coast | Makrozoobenthos Rembatan baru"
IPB-2011HJ-MF005,IPB-2011HJ-MF005-MP002,2010-10-26/2011-3-10,Quadran,Corer,Plot 1 x 1,metre,MP,,,-06.2307694°,108.1816778°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,"1x1 m quadrant placed at a distance of 0 m, 500 m and 1000 m from the coast |MP is Makrozoobenthos Pangkalan"
IPB-2011HJ-MF005,IPB-2011HJ-MF005-MC003,2010-10-26/2011-3-10,Quadran,Corer,Plot 1 x 1,metre,MC,,,"6013’50,77” - -06.2412111°",108.2015028°-108.2241944°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,"1x1 m quadrant placed at a distance of 0 m, 500 m and 1000 m from the coast | MC isMakrozoobenthos Cimanuk lama"
IPB-2011HJ-MF005,IPB-2011HJ-MF005-MS004,2010-10-26/2011-3-10,Quadran,Corer,Plot 1 x 1,metre,MS,,,-06.5214556° - -06.5383806°,108.5097694° - 108.5311500°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,"1x1 m quadrant placed at a distance of 0 m, 500 m and 1000 m from the coast |MS is Makrozoobenthos Singakerta"
IPB-2011HJ-MF005,IPB-2011HJ-MF005-MP005,2010-10-26/2011-3-10,Quadran,Corer,Plot 1 x 1,metre,MP,,,-06.2526750° - -06.2579917°,108.3067333° - 108.3202583°,,ID,Java,West Java,Indramayu,,Muara Cimanuk,"1x1 m quadrant placed at a distance of 0 m, 500 m and 1000 m from the coast | MP is Makrozoobenthos Pabean"
IPB-2013SW-MF006,IPB-2013SW-MF006-LA001,2012-10-3/5/2012-11-1/9,IPA,Binokular | 3 hours,2000,metre,K1600,,,-07.2183333° - -07.2561111°,107.4497222° - 107.3725000°,,ID,Java,West Java,Kabupaten Bandung,Ciwiday,,2000 m is  transcet IPA | 50 m is radius|K1600 is Ketinggian 1600 mdpl
IPB-2013SW-MF006,IPB-2013SW-MF006-LA002,2012-10-3/5/2012-11-1/9,IPA,Binokular | 3 hours,2000,metre,K1800,,,-07.3491667° - -07.1777778°,107.5025000° - 107.6047222°,,ID,Java,West Java,Kabupaten Bandung,Ciwiday,,2000 m is transect IPA | 50 m is radius | K1800 is Ketinggian 1800 mdpl
IPB-2013SW-MF006,IPB-2013SW-MF006-LA003,2012-10-3/5/2012-11-1/9,IPA,Binokular | 3 hours,2000,metre,K2000,,,-07.1647222° - -07.2200000°,107.4613889° - 107.5061111°,,ID,Java,West Java,Kabupaten Bandung,Ciwiday,,2000 m is transect IPA | 50 m is radius | K2000 is Ketinggian 2000 mdpl
IPB-2013SW-MF006,IPB-2013SW-MF006-LA004,2012-10-3/5/2012-11-1/9,IPA,Binokular | 3 hours,2000,metre,K2200,,,-07.3877778° - -07.1713889°,107.4913889° - 107.5433333°,,ID,Java,West Java,Kabupaten Bandung,Ciwiday,,2000 m is transect IPA | 50 m is radius | K2200 is Ketinggian 2200 mdpl
IPB-2017HS-MF007,IPB-2017HS-MF007-IT001,2016-5/2016-8,IPA,Birdwatching with binokular,1000,metre,IT,,,,,,ID,Java,West Java,Kabupaten Bogor,Jasinga,Desa Wirajaya | Cagar Alam Dungus Iwul,1000 m is transect IPA | 50 m is radius | IT is Tipe vegeasi Iwul tinggi (Birdwatching)
