eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR001,Living Specimen,1999-10,animalia,Elateridae,Family,Ulat kawat,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR002,Living Specimen,1999-10,animalia,Lamphophorus sp.,Genus,kunang-kunang betina,-6.91,106.82,WGS84,ID,2,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR003,Living Specimen,1999-10,animalia,Cutillia sp.,Genus,kecoak hutan hitam,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR004,Living Specimen,1999-10,animalia,Phanastia javanica,Species,kecoak hutan,-6.91,106.82,WGS84,ID,2,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR005,Living Specimen,1999-10,animalia,Gryllus sp.,Genus,Jengkerik,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR006,Living Specimen,1999-10,animalia,Grillotalpa sp.,Genus,Orong-orong,-6.91,106.82,WGS84,ID,3,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR007,Living Specimen,1999-10,animalia,Formica spp.,Genus,semut hitam bersungut panjang,-6.91,106.82,WGS84,ID,67,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR008,Living Specimen,1999-10,animalia,Formica spp.,Genus,semut berkaki panjang,-6.91,106.82,WGS84,ID,33,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR009,Living Specimen,1999-10,animalia,Diacamma sp.,Genus,semut merah sungut panjang,-6.91,106.82,WGS84,ID,59,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR010,Living Specimen,1999-10,animalia,Odontoponera sp.,Genus,semut hitam besar,-6.91,106.82,WGS84,ID,39,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR011,Living Specimen,1999-10,animalia,Dorylus sp.,Genus,semut merah tentara,-6.91,106.82,WGS84,ID,226,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR012,Living Specimen,1999-10,animalia,Harpegnatus sp.,Genus,semut bercapit,-6.91,106.82,WGS84,ID,248,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR013,Living Specimen,1999-10,animalia,Hodotermes sp.,Genus,rayap sp1,-6.91,106.82,WGS84,ID,7,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR014,Living Specimen,1999-10,animalia,Odontotermes javanicus,Species,rayap sp3,-6.91,106.82,WGS84,ID,16,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR015,Living Specimen,1999-10,animalia,Margaroides sp.,Genus,mutiara tanah,-6.91,106.82,WGS84,ID,3,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR016,Living Specimen,1999-10,animalia,Harbonatus spp.,Genus,laba-laba peloncat putih,-6.91,106.82,WGS84,ID,2,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR017,Living Specimen,1999-10,animalia,Thomisidae,Family,laba-laba kepiting kaki belang,-6.91,106.82,WGS84,ID,4,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR018,Living Specimen,1999-10,animalia,Lycosa sp.,Genus,laba-laba tanah,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR019,Living Specimen,1999-10,animalia,Scorpio sp.,Genus,kalajengking,-6.91,106.82,WGS84,ID,7,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR020,Living Specimen,1999-10,animalia,Spirobilus sp.,Genus,kaki seribu,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR021,Living Specimen,1999-10,animalia,Glomeris sp.,Genus,kaki seribu bola,-6.91,106.82,WGS84,ID,2,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR022,Living Specimen,1999-10,animalia,Geophilus sp.,Genus,kelabang cacing,-6.91,106.82,WGS84,ID,7,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR023,Living Specimen,1999-10,animalia,Necrophilus sp.,Genus,kelabang kebiruan,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-AR024,Living Specimen,1999-10,animalia,Armadillidum sp.,Genus,trenggilig mentik,-6.91,106.82,WGS84,ID,5,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-IN001,Living Specimen,1999-10,animalia,Lumbricus sp.,Genus,cacing tanah,-6.91,106.82,WGS84,ID,10,,,Present,
IPB-2000NI-ST001-PL001,IPB-2000NI-ST001-PL001-IN002,Living Specimen,1999-10,animalia,Dyakia rumphii,Species,keong rumah bulat,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL002,IPB-2000NI-ST001-PL002-AR001,Living Specimen,1999-10,animalia,Setanis varga,Species,kumbang perombak,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL002,IPB-2000NI-ST001-PL002-AR002,Living Specimen,1999-10,animalia,Nebria sp.,Genus,kumbang tanah,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL002,IPB-2000NI-ST001-PL002-AR003,Living Specimen,1999-10,animalia,Gryllus sp.,Genus,Jengkerik,-6.91,106.82,WGS84,ID,9,,,Present,
IPB-2000NI-ST001-PL002,IPB-2000NI-ST001-PL002-AR004,Living Specimen,1999-10,animalia,Richnoda sp.,Genus,kecoak badan lebar,-6.91,106.82,WGS84,ID,1,,,Present,
IPB-2000NI-ST001-PL002,IPB-2000NI-ST001-PL002-AR005,Living Specimen,1999-10,animalia,Cutillia sp.,Genus,kecoak hutan hitam,-6.91,106.82,WGS84,ID,21,,,Present,
IPB-2000NI-ST001-PL002,IPB-2000NI-ST001-PL002-AR006,Living Specimen,1999-10,animalia,Blattella sp.,Genus,kecoak hutan sayap lebar,-6.91,106.82,WGS84,ID,12,,,Present,
