eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN001,Human observation,2016-11/2017-02,Animalia,Orthetrum sabina,Species,Capung sambar hijua,-7.7283333,110.4180556,WGS 84,ID,39,,,Present,Pengenalan Pelajaran Serangga. Borror et al. 1992,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN002,Human observation,2016-11/2017-02,Animalia,Orthetrum chrysis,Species,,-7.7283333,110.4180556,WGS 84,ID,3,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN003,Human observation,2016-11/2017-02,Animalia,Neurothemis terminata,Species,,-7.7283333,110.4180556,WGS 84,ID,8,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN004,Human observation,2016-11/2017-02,Animalia,Pantala flavescens,Species,,-7.7283333,110.4180556,WGS 84,ID,3,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN005,Human observation,2016-11/2017-02,Animalia,Heliochypha fenestrata,Species,,-7.7283333,110.4180556,WGS 84,ID,1,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN006,Human observation,2016-11/2017-02,Animalia,Caryanda spuria,Species,,-7.7283333,110.4180556,WGS 84,ID,58,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN007,Human observation,2016-11/2017-02,Animalia,Phlaeoba fumosa,Species,,-7.7283333,110.4180556,WGS 84,ID,255,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN008,Human observation,2016-11/2017-02,Animalia,Xiphidion sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,18,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN009,Human observation,2016-11/2017-02,Animalia,Hicrodula sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,6,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN010,Human observation,2016-11/2017-02,Animalia,Mycalesis sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,20,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN011,Human observation,2016-11/2017-02,Animalia,Melanitis leda,Species,,-7.7283333,110.4180556,WGS 84,ID,23,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN012,Human observation,2016-11/2017-02,Animalia,Elymnias hypermnestra,Species,,-7.7283333,110.4180556,WGS 84,ID,6,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN013,Human observation,2016-11/2017-02,Animalia,Neptis hylas,Species,,-7.7283333,110.4180556,WGS 84,ID,13,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN014,Human observation,2016-11/2017-02,Animalia,Charaxes bernadus,Species,,-7.7283333,110.4180556,WGS 84,ID,7,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN015,Human observation,2016-11/2017-02,Animalia,Papilio memnon,Species,,-7.7283333,110.4180556,WGS 84,ID,2,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN016,Human observation,2016-11/2017-02,Animalia,Eurema hecabe,Species,,-7.7283333,110.4180556,WGS 84,ID,2,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN017,Human observation,2016-11/2017-02,Animalia,Leptosia nina,Species,,-7.7283333,110.4180556,WGS 84,ID,5,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN018,Human observation,2016-11/2017-02,Animalia,Popillia japonica,Species,,-7.7283333,110.4180556,WGS 84,ID,14,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN019,Human observation,2016-11/2017-02,Animalia,Oulema melanopus,Species,,-7.7283333,110.4180556,WGS 84,ID,4,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN020,Human observation,2016-11/2017-02,Animalia,Aulocaphora similis,Species,,-7.7283333,110.4180556,WGS 84,ID,58,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN021,Human observation,2016-11/2017-02,Animalia,Dicladispa sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,39,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN022,Human observation,2016-11/2017-02,Animalia,Paederus sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,105,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN023,Human observation,2016-11/2017-02,Animalia,Lucilia sp.,Species,,-7.7283333,110.4180556,WGS 84,ID,41,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN024,Human observation,2016-11/2017-02,Animalia,Drosophila sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,50,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN025,Human observation,2016-11/2017-02,Animalia,Condylostylus sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,276,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN026,Human observation,2016-11/2017-02,Animalia,Sarchopaga sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,141,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN027,Human observation,2016-11/2017-02,Animalia,Taeniaptera trivittata,Species,,-7.7283333,110.4180556,WGS 84,ID,96,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN028,Human observation,2016-11/2017-02,Animalia,Diptera,Ordo,,-7.7283333,110.4180556,WGS 84,ID,337,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN029,Human observation,2016-11/2017-02,Animalia,Efferia sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,50,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN030,Human observation,2016-11/2017-02,Animalia,Hermetia illucens,Species,,-7.7283333,110.4180556,WGS 84,ID,75,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN031,Human observation,2016-11/2017-02,Animalia,Leptocorisa acuta,Species,,-7.7283333,110.4180556,WGS 84,ID,89,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN032,Human observation,2016-11/2017-02,Animalia,Dysdercus sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,3,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN033,Human observation,2016-11/2017-02,Animalia,Apis sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,13,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN034,Human observation,2016-11/2017-02,Animalia,Eumenes sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,8,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN035,Human observation,2016-11/2017-02,Animalia,Sulcophanaeus sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,46,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN036,Human observation,2016-11/2017-02,Animalia,Cincindela sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,11,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN037,Human observation,2016-11/2017-02,Animalia,Chlaenius lynx,Species,,-7.7283333,110.4180556,WGS 84,ID,6,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN038,Human observation,2016-11/2017-02,Animalia,Coleoptera,Ordo,,-7.7283333,110.4180556,WGS 84,ID,439,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN039,Human observation,2016-11/2017-02,Animalia,Gryllus sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,1,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN040,Human observation,2016-11/2017-02,Animalia,Gryllotalpa sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,9,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN041,Human observation,2016-11/2017-02,Animalia,Trimetotropis sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,2,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN042,Human observation,2016-11/2017-02,Animalia,Blatta sp.,Genus,,-7.7283333,110.4180556,WGS 84,ID,1,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN043,Human observation,2016-11/2017-02,Animalia,Dermaptera,Ordo,,-7.7283333,110.4180556,WGS 84,ID,36,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN044,Human observation,2016-11/2017-02,Animalia,Neuroptera,Genus,,-7.7283333,110.4180556,WGS 84,ID,1,,,,,
UGM-2017ND-AN012-TR001,UGM-2017ND-AN012-TR001-TN045,Human observation,2016-11/2017-02,Animalia,Formicidae,Family,,-7.7283333,110.4180556,WGS 84,ID,3931,,,,,
