eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UGM-2017BN-AN001-TS001,UGM-2017BN-AN001-TS001-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.70733,110.41273,WGS84,ID,4,,,Present,
UGM-2017BN-AN001-TS001,UGM-2017BN-AN001-TS001-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.70733,110.41273,WGS84,ID,9,,,Present,
UGM-2017BN-AN001-TS002,UGM-2017BN-AN001-TS002-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.71555,110.4093,WGS84,ID,3,,,Present,
UGM-2017BN-AN001-TS002,UGM-2017BN-AN001-TS002-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.71555,110.4093,WGS84,ID,3,,,Present,
UGM-2017BN-AN001-TS003,UGM-2017BN-AN001-TS003-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sp.,Genus,,7.75688,110.41496,WGS84,ID,0,,,Absent,
UGM-2017BN-AN001-TS004,UGM-2017BN-AN001-TS004-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.76214,110.41705,WGS84,ID,5,,,Present,
UGM-2017BN-AN001-TS004,UGM-2017BN-AN001-TS004-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.76214,110.41705,WGS84,ID,25,,,Present,
UGM-2017BN-AN001-TS004,UGM-2017BN-AN001-TS004-IN003,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium lanchesteri,Species,,7.76214,110.41705,WGS84,ID,1,,,Present,
UGM-2017BN-AN001-TS005,UGM-2017BN-AN001-TS005-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.76753,110.41538,WGS84,ID,3,,,Present,
UGM-2017BN-AN001-TS005,UGM-2017BN-AN001-TS005-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.76753,110.41538,WGS84,ID,1,,,Present,
UGM-2017BN-AN001-TS006,UGM-2017BN-AN001-TS006-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.78301,110.41936,WGS84,ID,20,,,Present,
UGM-2017BN-AN001-TS006,UGM-2017BN-AN001-TS006-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.78301,110.41936,WGS84,ID,9,,,Present,
UGM-2017BN-AN001-TS006,UGM-2017BN-AN001-TS006-IN003,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium lanchesteri,Species,,7.78301,110.41936,WGS84,ID,4,,,Present,
UGM-2017BN-AN001-TS007,UGM-2017BN-AN001-TS007-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sp.,Genus,,7.80327,110.42247,WGS84,ID,0,,,Absent,
UGM-2017BN-AN001-TS008,UGM-2017BN-AN001-TS008-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.82169,110.42282,WGS84,ID,3,,,Present,
UGM-2017BN-AN001-TS008,UGM-2017BN-AN001-TS008-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.82169,110.42282,WGS84,ID,2,,,Present,
UGM-2017BN-AN001-TS009,UGM-2017BN-AN001-TS009-IN001,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium sintangese,Species,Udang Regang|Udang Sintang,7.85164,110.42975,WGS84,ID,5,,,Present,
UGM-2017BN-AN001-TS009,UGM-2017BN-AN001-TS009-IN002,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium pillimanus,Species,Bekutut,7.85164,110.42975,WGS84,ID,3,,,Present,
UGM-2017BN-AN001-TS009,UGM-2017BN-AN001-TS009-IN003,Human Observation,2016-08-28/10-04,Animalia,Macrobrachium lanchesteri,Species,,7.85164,110.42975,WGS84,ID,1,,,Present,
UGM-2017KC-AN002-TS001,UGM-2017KC-AN002-TS001-AR001,Human Observation,2016-03/06,Animalia,Haematobia irritans,Species,,-7.6769444,110.4638889,WGS84,ID,63,,,Present,
UGM-2017KC-AN002-TS001,UGM-2017KC-AN002-TS001-AR002,Human Observation,2016-03/06,Animalia,Stomoxys calcitrans,Species,,-7.6769444,110.4638889,WGS84,ID,7,,,Present,
UGM-2017KC-AN002-TS001,UGM-2017KC-AN002-TS001-AR003,Human Observation,2016-03/06,Animalia,Musca domestica,Species,,-7.6769444,110.4638889,WGS84,ID,36,,,Present,
UGM-2017KC-AN002-TS001,UGM-2017KC-AN002-TS001-AR004,Human Observation,2016-03/06,Animalia,Tabanus subsimilis,Species,,-7.6769444,110.4638889,WGS84,ID,14,,,Present,
UGM-2017KC-AN002-TS001,UGM-2017KC-AN002-TS001-AR005,Human Observation,2016-03/06,Animalia,Drosophila repleta,Species,,-7.6769444,110.4638889,WGS84,ID,7,,,Present,
