eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UGM-2017DN-BA001-SHK01,UGM-2017DN-BA001-SHK01-EM001,HumanObservation,2016-09/10,Plantae,Falcataria moluccana,species,Sengon Laut,6.85/7.26666667,110.6/110.83333333,WGS84,ID,5,5,individuals,present,
UGM-2017DN-BA001-SHK01,UGM-2017DN-BA001-SHK01-EM002,HumanObservation,2016-09/10,Plantae,Polyalthia longifolia,species,Glodogan Pecut,6.85/7.26666667,110.6/110.83333333,WGS84,ID,7,7,individuals,present,
UGM-2017DN-BA001-SHK01,UGM-2017DN-BA001-SHK01-EM003,HumanObservation,2016-09/10,Plantae,Pterocarpus indicus,species,Angsana,6.85/7.26666667,110.6/110.83333333,WGS84,ID,7,7,individuals,present,
UGM-2017DN-BA001-SHK01,UGM-2017DN-BA001-SHK01-EM004,HumanObservation,2016-09/10,Plantae,Samanea saman,species,Trembesi,6.85/7.26666667,110.6/110.83333333,WGS84,ID,3,3,individuals,present,
UGM-2017DN-BA001-SHK01,UGM-2017DN-BA001-SHK01-EM005,HumanObservation,2016-09/10,Plantae,Tamarindus indica,species,Asam Jawa,6.85/7.26666667,110.6/110.83333333,WGS84,ID,7,7,individuals,present,
UGM-2017DN-BA001-SHK02,UGM-2017DN-BA001-SHK02-EM001,HumanObservation,2016-09/10,Plantae,Aleurites moluccana,species,Kemiri,6.85/7.26666667,110.6/110.83333333,WGS84,ID,4,4,individuals,present,
UGM-2017DN-BA001-SHK02,UGM-2017DN-BA001-SHK02-EM002,HumanObservation,2016-09/10,Plantae,Ceiba pentandra,species,Randu,6.85/7.26666667,110.6/110.83333333,WGS84,ID,1,1,individuals,present,
UGM-2017DN-BA001-SHK02,UGM-2017DN-BA001-SHK02-EM003,HumanObservation,2016-09/10,Plantae,Delonix regia,species,Flamboyan,6.85/7.26666667,110.6/110.83333333,WGS84,ID,2,2,individuals,present,
UGM-2017DN-BA001-SHK02,UGM-2017DN-BA001-SHK02-EM004,HumanObservation,2016-09/10,Plantae,Gliricidea sepium,species,Gamal,6.85/7.26666667,110.6/110.83333333,WGS84,ID,1,1,individuals,present,
UGM-2017DN-BA001-SHK02,UGM-2017DN-BA001-SHK02-EM005,HumanObservation,2016-09/10,Plantae,Mangifera indica,species,Mangga,6.85/7.26666667,110.6/110.83333333,WGS84,ID,1,1,individuals,present,
UGM-2017DN-BA001-SHK02,UGM-2017DN-BA001-SHK02-EM006,HumanObservation,2016-09/10,Plantae,Melia azedarach,species,Mindi,6.85/7.26666667,110.6/110.83333333,WGS84,ID,5,5,individuals,present,
