eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA001,HumanObservation,2016-10/2017-02,Animalia,Ambassis macracanthus,species,Memreng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,16,16,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA002,HumanObservation,2016-10/2017-02,Animalia,Carangoides malabaricus,species,Petek,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,7,7,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA003,HumanObservation,2016-10/2017-02,Animalia,Chelon subviridis,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,43,43,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA004,HumanObservation,2016-10/2017-02,Animalia,Cynoglossus puncticeps,species,Sebelah,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,7,7,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA005,HumanObservation,2016-10/2017-02,Animalia,Doryichthys boaja,species,Pipa,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,4,4,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA006,HumanObservation,2016-10/2017-02,Animalia,Gerres filamentous,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA007,HumanObservation,2016-10/2017-02,Animalia,Gerres limbatus,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA008,HumanObservation,2016-10/2017-02,Animalia,Lutjanus argentimaculatus,species,Kakap,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,4,4,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA009,HumanObservation,2016-10/2017-02,Animalia,Moolgarda engeli,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,23,23,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA010,HumanObservation,2016-10/2017-02,Animalia,Mystus gulio,species,Keting,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,90,90,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA011,HumanObservation,2016-10/2017-02,Animalia,Plectorhinchus gibbosus,species,Plathak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,3,3,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST1,UGM-2017EN-BA012-ST1-MA012,HumanObservation,2016-10/2017-02,Animalia,Zenarchopterus rasori,species,Cucut,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA001,HumanObservation,2016-10/2017-02,Animalia,Ambassis macracanthus,species,Memreng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,20,20,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA002,HumanObservation,2016-10/2017-02,Animalia,Carangoides malabaricus,species,Petek,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,7,7,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA003,HumanObservation,2016-10/2017-02,Animalia,Chanos chanos,species,Bandeng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA004,HumanObservation,2016-10/2017-02,Animalia,Chelon subviridis,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,18,18,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA005,HumanObservation,2016-10/2017-02,Animalia,Gerres filamentous,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA006,HumanObservation,2016-10/2017-02,Animalia,Gerres limbatus,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA007,HumanObservation,2016-10/2017-02,Animalia,Glossogobius aureus,species,Bloso bening,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA008,HumanObservation,2016-10/2017-02,Animalia,Lutjanus argentimaculatus,species,Kakap,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,8,8,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA009,HumanObservation,2016-10/2017-02,Animalia,Moolgarda engeli,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,10,10,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA010,HumanObservation,2016-10/2017-02,Animalia,Mystus gulio,species,Keting,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,134,134,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA011,HumanObservation,2016-10/2017-02,Animalia,Ophiocara porocephala,species,Bloso hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,8,8,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA012,HumanObservation,2016-10/2017-02,Animalia,Oreochromis mossambicus,species,Mujair,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,6,6,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA013,HumanObservation,2016-10/2017-02,Animalia,Oreochromis niloticus,species,Nila hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,9,9,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA014,HumanObservation,2016-10/2017-02,Animalia,Plectorhinchus gibbosus,species,Plathak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA015,HumanObservation,2016-10/2017-02,Animalia,Scatophagus argus,species,Kiper,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST2,UGM-2017EN-BA012-ST2-MA016,HumanObservation,2016-10/2017-02,Animalia,Trichopodus trichopterus,species,Sepat,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA001,HumanObservation,2016-10/2017-02,Animalia,Ambassis macracanthus,species,Memreng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,88,88,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA002,HumanObservation,2016-10/2017-02,Animalia,Anabas testudineus,species,Betik,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,10,10,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA003,HumanObservation,2016-10/2017-02,Animalia,Boleophthalmus boddarti,species,Glodok,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA004,HumanObservation,2016-10/2017-02,Animalia,Channa striata,species,Gabus,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA005,HumanObservation,2016-10/2017-02,Animalia,Chelon subviridis,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,7,7,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA006,HumanObservation,2016-10/2017-02,Animalia,Lutjanus argentimaculatus,species,Kakap,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA007,HumanObservation,2016-10/2017-02,Animalia,Moolgarda engeli,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,29,29,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA008,HumanObservation,2016-10/2017-02,Animalia,Mystus gulio,species,Keting,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,148,148,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA009,HumanObservation,2016-10/2017-02,Animalia,Ophiocara porocephala,species,Bloso hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,15,15,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA010,HumanObservation,2016-10/2017-02,Animalia,Oreochromis mossambicus,species,Mujair,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,5,5,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA011,HumanObservation,2016-10/2017-02,Animalia,Oreochromis niloticus,species,Nila hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,11,11,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA012,HumanObservation,2016-10/2017-02,Animalia,Scatophagus argus,species,Kiper,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST3,UGM-2017EN-BA012-ST3-MA013,HumanObservation,2016-10/2017-02,Animalia,Trichopodus trichopterus,species,Sepat,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,8,8,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA001,HumanObservation,2016-10/2017-02,Animalia,Ambassis macracanthus,species,Memreng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,24,24,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA002,HumanObservation,2016-10/2017-02,Animalia,Anabas testudineus,species,Betik,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA003,HumanObservation,2016-10/2017-02,Animalia,Chelon subviridis,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,10,10,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA004,HumanObservation,2016-10/2017-02,Animalia,Hampala macrolepidota,species,Palung,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,5,5,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA005,HumanObservation,2016-10/2017-02,Animalia,Lutjanus argentimaculatus,species,Kakap,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA006,HumanObservation,2016-10/2017-02,Animalia,Moolgarda engeli,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA007,HumanObservation,2016-10/2017-02,Animalia,Mystus gulio,species,Keting,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,146,146,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA008,HumanObservation,2016-10/2017-02,Animalia,Ophiocara porocephala,species,Bloso hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,25,25,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA009,HumanObservation,2016-10/2017-02,Animalia,Oreochromis mossambicus,species,Mujair,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,8,8,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA010,HumanObservation,2016-10/2017-02,Animalia,Oreochromis niloticus,species,Nila hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,16,16,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA011,HumanObservation,2016-10/2017-02,Animalia,Plectorhinchus gibbosus,species,Plathak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA012,HumanObservation,2016-10/2017-02,Animalia,Terapon jarbua,species,Kerong-kerong,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017EN-BA012-ST4,UGM-2017EN-BA012-ST4-MA013,HumanObservation,2016-10/2017-02,Animalia,Trichopodus trichopterus,species,Sepat,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | Kottelat et al. (1993) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA001,HumanObservation,2016-10/2017-02,Animalia,Ambassis macracanthus,species,Memreng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,21,21,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA002,HumanObservation,2016-10/2017-02,Animalia,Carangoides malabaricus,species,Petek,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,28,28,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA003,HumanObservation,2016-10/2017-02,Animalia,Chelonodon patoca,species,Buntal,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,4,4,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA004,HumanObservation,2016-10/2017-02,Animalia,Cynoglossus puncticeps,species,Sebelah,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA005,HumanObservation,2016-10/2017-02,Animalia,Eleutheronema tetradactylum,species,Kurau,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,5,5,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA006,HumanObservation,2016-10/2017-02,Animalia,Gerres filamentous,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,8,8,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA007,HumanObservation,2016-10/2017-02,Animalia,Gerres limbatus,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA008,HumanObservation,2016-10/2017-02,Animalia,Glossogobius aureus,species,Bloso hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA009,HumanObservation,2016-10/2017-02,Animalia,Lutjanus argentimaculatus,species,Kakap,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,3,3,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA010,HumanObservation,2016-10/2017-02,Animalia,Moolgarda engeli,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,120,120,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA011,HumanObservation,2016-10/2017-02,Animalia,Mystus gulio,species,Keting,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,110,110,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA012,HumanObservation,2016-10/2017-02,Animalia,Platycephalus indicus,species,Gepeng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA013,HumanObservation,2016-10/2017-02,Animalia,Plectorhinchus gibbosus,species,Plathak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA014,HumanObservation,2016-10/2017-02,Animalia,Pseudorhombus arsius,species,Sebelah,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,4,4,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA015,HumanObservation,2016-10/2017-02,Animalia,Scatophagus argus,species,Kiper,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA016,HumanObservation,2016-10/2017-02,Animalia,Sillago sihama,species,Bojor,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST1,UGM-2017AP-BA013-ST1-MA017,HumanObservation,2016-10/2017-02,Animalia,Terapon jarbua,species,Kerong-kerong,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,6,6,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA001,HumanObservation,2016-10/2017-02,Animalia,Ambassis macracanthus,species,Memreng,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA002,HumanObservation,2016-10/2017-02,Animalia,Arothron reticularis,species,Buntal,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,2,2,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA003,HumanObservation,2016-10/2017-02,Animalia,Carangoides malabaricus,species,Petek,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA004,HumanObservation,2016-10/2017-02,Animalia,Cynoglossus puncticeps,species,Sebelah,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA005,HumanObservation,2016-10/2017-02,Animalia,Gerres filamentous,species,Kapas-kapas,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,32,32,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA006,HumanObservation,2016-10/2017-02,Animalia,Glossogobius aureus,species,Bloso hitam,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,1,1,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA007,HumanObservation,2016-10/2017-02,Animalia,Lutjanus argentimaculatus,species,Kakap,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,3,3,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA008,HumanObservation,2016-10/2017-02,Animalia,Moolgarda engeli,species,Belanak,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,55,55,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
UGM-2017AP-BA013-ST2,UGM-2017AP-BA013-ST2-MA009,HumanObservation,2016-10/2017-02,Animalia,Mystus gulio,species,Keting,-7.8933023 | -7.8945645,110.0234979 | 110.0234631,WGS84,ID,106,106,individuals,present,"Carpenter & Niem (1999, 2001) | fishbase.org",
