eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE001,HumanObservation,2016-05-22/06-4,Animalia,Fejervarya cancrivora,species,Katak hijau,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,4,4,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE002,HumanObservation,2016-05-22/06-4,Animalia,Fejervarya limnocharis,species,Katak tegalan,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,70,70,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE003,HumanObservation,2016-05-22/06-4,Animalia,Chalocorana chalconota,species,Kongkang kolam,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,94,94,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE004,HumanObservation,2016-05-22/06-4,Animalia,Ingerophrynus biporcatus,species,Kodok puru hutan,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,3,3,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE005,HumanObservation,2016-05-22/06-4,Animalia,Leptobrachium hasseltii,species,Katak serasah,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,53,53,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE006,HumanObservation,2016-05-22/06-4,Animalia,Limnonectes kuhlii,species,Bangkong tuli,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,27,27,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE007,HumanObservation,2016-05-22/06-4,Animalia,Limnonectes macrodon,species,Bangkong batu raksasa,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,19,19,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE008,HumanObservation,2016-05-22/06-4,Animalia,Odorrana hosii,species,Kongkang racun,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,10,10,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE009,HumanObservation,2016-05-22/06-4,Animalia,Phrynoidis asper,species,Kodok puru besar,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,35,35,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-DRY,UGM-2017DA-BA018-DRY-VE010,HumanObservation,2016-05-22/06-4,Animalia,Polypedates leucomystax,species,Katak pohon bergaris,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,2,2,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE001,HumanObservation,2016-09-25/10-8,Animalia,Duttaphrynus melanostictus,species,Kodok buduk,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,2,2,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE002,HumanObservation,2016-09-25/10-8,Animalia,Fejervarya cancrivora,species,Katak hijau,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,2,2,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE003,HumanObservation,2016-09-25/10-8,Animalia,Fejervarya limnocharis,species,Katak tegalan,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,21,21,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE004,HumanObservation,2016-09-25/10-8,Animalia,Huia masonii,species,Kongkang jeram,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,1,1,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE005,HumanObservation,2016-09-25/10-8,Animalia,Chalocorana chalconota,species,Kongkang kolam,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,30,30,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE006,HumanObservation,2016-09-25/10-8,Animalia,Ingerophrynus biporcatus,species,Kodok puru hutan,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,2,2,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE007,HumanObservation,2016-09-25/10-8,Animalia,Leptobrachium hasseltii,species,Katak serasah,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,2,2,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE008,HumanObservation,2016-09-25/10-8,Animalia,Limnonectes kuhlii,species,Bangkong tuli,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,80,80,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE009,HumanObservation,2016-09-25/10-8,Animalia,Limnonectes macrodon,species,Bangkong batu raksasa,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,15,15,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE010,HumanObservation,2016-09-25/10-8,Animalia,Occidozyga lima,species,Bancet hijau,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,6,6,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE011,HumanObservation,2016-09-25/10-8,Animalia,Odorrana hosii,species,Kongkang racun,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,7,7,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE012,HumanObservation,2016-09-25/10-8,Animalia,Phrynoidis asper,species,Kodok puru besar,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,28,28,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2017DA-BA018-WET,UGM-2017DA-BA018-WET-VE013,HumanObservation,2016-09-25/10-8,Animalia,Polypedates leucomystax,species,Katak pohon bergaris,-7.12022222 | 110.08666667,110.08666667 | 110.08666667,WGS84,ID,1,1,individuals,present,Iskandar (2008) | Kusrini (2013),
UGM-2016IR-BA019-HL,UGM-2016IR-BA019-HL-VE001,HumanObservation,2015-07-03/10-07,Animalia,Ahaetulla prasina,species,Oriental vine snake,1.388 / 0.89,111.91805556 / 113.32138889,WGS84,ID,1,1,individuals,present,Malkmus et al. (2002) | Inger and Stuebing (2005) | Das (2004) | Das (2010),
UGM-2016IR-BA019-HL,UGM-2016IR-BA019-HL-VE002,HumanObservation,2015-07-03/10-07,Animalia,Amyda cartilaginea,species,Southeast asian softshell turtle,1.388 / 0.89,111.91805556 / 113.32138889,WGS84,ID,1,1,individuals,present,Malkmus et al. (2002) | Inger and Stuebing (2005) | Das (2004) | Das (2010),
UGM-2016IR-BA019-HL,UGM-2016IR-BA019-HL-VE003,HumanObservation,2015-07-03/10-07,Animalia,Ansonia sp.,genus,,1.388 / 0.89,111.91805556 / 113.32138889,WGS84,ID,5,5,individuals,present,Malkmus et al. (2002) | Inger and Stuebing (2005) | Das (2004) | Das (2010),Ansonia sp. 1
UGM-2016IR-BA019-HL,UGM-2016IR-BA019-HL-VE004,HumanObservation,2015-07-03/10-07,Animalia,Ansonia sp.,genus,,1.388 / 0.89,111.91805556 / 113.32138889,WGS84,ID,5,5,individuals,present,Malkmus et al. (2002) | Inger and Stuebing (2005) | Das (2004) | Das (2010),Ansonia sp. 2
UGM-2016IR-BA019-HL,UGM-2016IR-BA019-HL-VE005,HumanObservation,2015-07-03/10-07,Animalia,Asthenodipsas laevis,species,Smooth slug eating snake,1.388 / 0.89,111.91805556 / 113.32138889,WGS84,ID,2,2,individuals,present,Malkmus et al. (2002) | Inger and Stuebing (2005) | Das (2004) | Das (2010),
UGM-2016IR-BA019-HL,UGM-2016IR-BA019-HL-VE006,HumanObservation,2015-07-03/10-07,Animalia,Boiga dendrophila annectens,species,Gold-ringed cat snake,1.388 / 0.89,111.91805556 / 113.32138889,WGS84,ID,1,1,individuals,present,Malkmus et al. (2002) | Inger and Stuebing (2005) | Das (2004) | Das (2010),
