eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM001,human observation,APRIL-MEI /2013,Plantae,Intsia bijuga,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM002,human observation,APRIL-MEI /2013,Plantae,Pongamia pinnata,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM003,human observation,APRIL-MEI /2013,Plantae,Adenanthera novoguinensis,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM004,human observation,APRIL-MEI /2013,Plantae,Glochidion sp.,genus,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM005,human observation,APRIL-MEI /2013,Plantae,Endospermum moluccanum,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM006,human observation,APRIL-MEI /2013,Plantae,Merremia peltata,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM007,human observation,APRIL-MEI /2013,Plantae,Ipomoea pleibeia,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM008,human observation,APRIL-MEI /2013,Plantae,Barringtonia asiatica,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM009,human observation,APRIL-MEI /2013,Plantae,Adenanthera microsperma,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM010,human observation,APRIL-MEI /2013,Plantae,Scaevola sericea,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM011,human observation,APRIL-MEI /2013,Plantae,Wedelia biflora,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM012,human observation,APRIL-MEI /2013,Plantae,Terminalia catappa,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM013,human observation,APRIL-MEI /2013,Plantae,Premna corymbosa,species,,,,,ID,,,,,
UNIPA-2013JK-AU001-01,UNIPA-2013JK-AU001-01-EM014,human observation,APRIL-MEI /2013,Plantae,Morinda citrifolia,species,,,,,ID,,,,,
