eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2011DB-DS004-LTLSKPPNS,IPB-2011DB-DS004-LTLSKPPNS-EM001,Human observation,2010-10/11,Plantae,Diospyros siamang,species,Arang-Arang,,,,,,35.479999999999997,important value index,,
IPB-2011DB-DS004-LTLSKPPNS,IPB-2011DB-DS004-LTLSKPPNS-EM002,Human observation,2010-10/11,Plantae,Palaquium rostratum,species,Balam,,,,,,29.12,important value index,,
IPB-2011DB-DS004-LTLSKPPNS,IPB-2011DB-DS004-LTLSKPPNS-EM003,Human observation,2010-10/11,Plantae,Syzygium grandis,species,Kelat putih,,,,,,21.22,important value index,,
IPB-2011DB-DS004-LTLSKPPNS,IPB-2011DB-DS004-LTLSKPPNS-EM004,Human observation,2010-10/11,Plantae,Quercus lucida,species,,,,,,,19.670000000000002,important value index,,
IPB-2011DB-DS004-LTLSKPPNS,IPB-2011DB-DS004-LTLSKPPNS-EM005,Human observation,2010-10/11,Plantae,Mangifera feotida,species,Mangga-mangga,,,,,,17.36,important value index,,
IPB-2011DB-DS004-LTLSKPPNP,IPB-2011DB-DS004-LTLSKPPNP-EM006,Human observation,2010-10/11,Plantae,Diospyros siamang,species,Arang-Arang,,,,,,39.479999999999997,important value index,,
IPB-2011DB-DS004-LTLSKPPNP,IPB-2011DB-DS004-LTLSKPPNP-EM007,Human observation,2010-10/11,Plantae,Mezzetia parviflora,species,Pisang-pisang,,,,,,25.99,important value index,,
IPB-2011DB-DS004-LTLSKPPNP,IPB-2011DB-DS004-LTLSKPPNP-EM008,Human observation,2010-10/11,Plantae,Syzygium grandis,species,Kelat putih,,,,,,23.64,important value index,,
IPB-2011DB-DS004-LTLSKPPNP,IPB-2011DB-DS004-LTLSKPPNP-EM009,Human observation,2010-10/11,Plantae,Shorea parvifolia,species,Meranti batu,,,,,,16.489999999999998,important value index,,
IPB-2011DB-DS004-LTLSKPPNP,IPB-2011DB-DS004-LTLSKPPNP-EM010,Human observation,2010-10/11,Plantae,Calophyllum pulcherrimum,species,Bintangur,,,,,,13.37,important value index,,
IPB-2011DB-DS004-LTLSKPPNT,IPB-2011DB-DS004-LTLSKPPNT-EM011,Human observation,2010-10/11,Plantae,Diospyros siamang,species,Arang-Arang,,,,,,49.32,important value index,,
