eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UNIPA-2013YT-HS021-MW001,UNIPA-2013YT-HS021-MW001-VE001,Human Observation,2012-09/2012-11,Animalia,Sus papuanensis,Species,babi hutan,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu | spesies tidak ditemukan diliterasi manapun
UNIPA-2013YT-HS021-MW002,UNIPA-2013YT-HS021-MW002,Human Observation,2012-09/2012-11,Animalia,Cervus timorensis,Species,rusa,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Cervus timorensis
UNIPA-2013YT-HS021-MW003,UNIPA-2013YT-HS021-MW003,Human Observation,2012-09/2012-11,Animalia,Phalanger,Genus,Kuskus,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Phalanger | Individu tidak disebutkan sampai tingkat spesies
UNIPA-2013YT-HS021-MW004,UNIPA-2013YT-HS021-MW004,Human Observation,2012-09/2012-11,Animalia,Peroryctes,Genus,tikus tanah,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Peroryctes | Individu tidak disebutkan sampai tingkat spesies
UNIPA-2013YT-HS021-MW005,UNIPA-2013YT-HS021-MW005,Human Observation,2012-09/2012-11,Animalia,Dendrolagus,Genus,Kangguru Pohon,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Dendrolagus | Individu tidak disebutkan sampai tingkat spesies
UNIPA-2013YT-HS021-MW006,UNIPA-2013YT-HS021-MW006,Human Observation,2012-09/2012-11,Animalia,Aepypodius arfakianus,Species,Maleo gunung,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Aepypodius
UNIPA-2013YT-HS021-MW007,UNIPA-2013YT-HS021-MW007,Human Observation,2012-09/2012-11,Animalia,Cacatua galerita,Species,kaka tua Koki,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Cacatua galerita
UNIPA-2013YT-HS021-MW008,UNIPA-2013YT-HS021-MW008,Human Observation,2012-09/2012-11,Animalia,Charmossyna,Genus,Perkici,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Charmossyna| Individu tidak disebutkan sampai tingkat spesies | Nama Ilmia Salah yang benar adalah Charmosyna
UNIPA-2013YT-HS021-MW009,UNIPA-2013YT-HS021-MW009,Human Observation,2012-09/2012-11,Animalia,Macrophygia,Genus,Uncal,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Macrophygia| Individu tidak disebutkan sampai tingkat spesies | Nama Ilmia Salah yang benar adalah Macropygia
UNIPA-2013YT-HS021-MW010,UNIPA-2013YT-HS021-MW010,Human Observation,2012-09/2012-11,Animalia,Gymnophaps,Genus,Pergam,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Gymnophaps | Individu tidak disebutkan sampai tingkat spesies
UNIPA-2013YT-HS021-MW011,UNIPA-2013YT-HS021-MW011,Human Observation,2012-09/2012-11,Animalia,Paradisaea,Genus,Cenderawasih,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Paradisaea | Individu tidak disebutkan sampai tingkat spesies
UNIPA-2013YT-HS021-MW012,UNIPA-2013YT-HS021-MW012,Human Observation,2012-09/2012-11,Animalia,Casuarius,Genus,Kasuari,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Casuarius | Individu tidak disebutkan sampai tingkat spesies
UNIPA-2013YT-HS021-MW013,UNIPA-2013YT-HS021-MW013,Human Observation,2012-09/2012-11,Animalia,Litoria,Genus,katak,-0.997975,133.896942,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Litoria | Individu tidak disebutkan sampai tingkat spesies
