eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR001,Human Observation,2000-04-09/2000-05-30,Animalia,Taenaris catops turdula,Species,The Silky Owl,-0.8786,133.84483,WGS84,ID,3,,,Present,Taenaris catops yang ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR002,Human Observation,2000-04-09/2000-05-30,Animalia,Hyantis hodeva helvola,Species,,-0.8786,133.84483,WGS84,ID,1,,,Present,Hyantis hodeva helvola adalah sub spesies dari Hyantis hodeva | ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR003,Human Observation,2000-04-09/2000-05-30,Animalia,Tirumala hamata hamata,Species,"Blue Tiger, Dark Blue Tiger, or Blue Wanderer",-0.8786,133.84483,WGS84,ID,3,,,Present,Tirumala hamata hamata adalah sub spesies dari Tirumala hamata | ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR004,Human Observation,2000-04-09/2000-05-30,Animalia,Euploea phaenareta phaenareta,Species,The Giant Crow,-0.8786,133.84483,WGS84,ID,2,,,Present,Euploea phaenareta phaenareta adalah sub spesies dari Euploea phaenareta | ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR005,Human Observation,2000-04-09/2000-05-30,Animalia,Parantica schenkii schenkii,Species,,-0.8786,133.84483,WGS84,ID,1,,,Present,Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR006,Human Observation,2000-04-09/2000-05-30,Animalia,Epimastidia inops pilumna,Species,,-0.8786,133.84483,WGS84,ID,2,,,Present,Pada GBIF hanya ditemukan Epimastidia inops | Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR007,Human Observation,2000-04-09/2000-05-30,Animalia,Jamides celeno,Species,Common Cerulean,-0.8786,133.84483,WGS84,ID,2,,,Present,Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR008,Human Observation,2000-04-09/2000-05-30,Animalia,Cyrestis acilia gades,Species,,-0.8786,133.84483,WGS84,ID,2,,,Present,Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR009,Human Observation,2000-04-09/2000-05-30,Animalia,Panthoporia cosimilis cosimilis,Species,Lascars,-0.8786,133.84483,WGS84,ID,1,,,Present,Penulisan yang benar Panthoporia cosimilis cosimilis adalah Pantoporia consimilis | Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR010,Human Observation,2000-04-09/2000-05-30,Animalia,Cupha prosope prosope,Species,,-0.8786,133.84483,WGS84,ID,4,,,Present,Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR011,Human Observation,2000-04-09/2000-05-30,Animalia,Hypolimnas bolina nerina,Species,"Great Eggfly, Common Eggfly,",-0.8786,133.84483,WGS84,ID,1,,,Present,Hypolimnas bolina nerina adalah sub spesies dari Hypolimnas bolina | Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR012,Human Observation,2000-04-09/2000-05-30,Animalia,Neptis nausicaa nausicaa,Species,Sailer Butterflies,-0.8786,133.84483,WGS84,ID,1,,,Present,Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
UNCEN-2000AW-MR001-CAPA001,UNCEN-2000AW-MR001-CAPA001-AR013,Human Observation,2000-04-09/2000-05-30,Animalia,Vindula arsinoe ada,Species,Cruiser,-0.8786,133.84483,WGS84,ID,1,,,Present,Vindula arsinoe ada adalah sub spesies dari Vindula arsinoe | Ditemukan di sungai prafi dengan ketinggian 10-20 m dpl
