eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2016MM-MU001-ST001,USU-2016MM-MU001-ST001-VE001,HumanObservation,2016-04,Animalia,Channa sriata,spesies,Gabus,2.7050528,99.6041306,WGS84,ID,,0.02,indiv/m2,present,,
USU-2016MM-MU001-ST001,USU-2016MM-MU001-ST001-VE002,HumanObservation,2016-04,Animalia,Labiobarbus festivus,spesies,Sopul,2.7050528,99.6041306,WGS84,ID,,0.15,indiv/m2,present,,
USU-2016MM-MU001-ST001,USU-2016MM-MU001-ST001-VE003,HumanObservation,2016-04,Animalia,Osteochilus waandersii,spesies,Salisir,2.7050528,99.6041306,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST001,USU-2016MM-MU001-ST001-VE004,HumanObservation,2016-04,Animalia,Barbodes schwanenfeldi,spesies,Lemeduk,2.7050528,99.6041306,WGS84,ID,,0.05,indiv/m2,present,,
USU-2016MM-MU001-ST001,USU-2016MM-MU001-ST001-VE005,HumanObservation,2016-04,Animalia,Osphronemus goramy,spesies,Gurami,2.7050528,99.6041306,WGS84,ID,,0.06,indiv/m2,present,,
USU-2016MM-MU001-ST002,USU-2016MM-MU001-ST002-VE001,HumanObservation,2016-04,Animalia,Belontia hasselti,spesies,Kepar,2.70335,99.6172806,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST002,USU-2016MM-MU001-ST002-VE002,HumanObservation,2016-04,Animalia,Labiobarbus festivus,spesies,Sopul,2.70335,99.6172806,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST002,USU-2016MM-MU001-ST002-VE003,HumanObservation,2016-04,Animalia,Puntius orphoides,spesies,Mata merah,2.70335,99.6172806,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST002,USU-2016MM-MU001-ST002-VE004,HumanObservation,2016-04,Animalia,Notopterus notopterus,spesies,Puta,2.70335,99.6172806,WGS84,ID,,0.03,indiv/m2,present,,
USU-2016MM-MU001-ST002,USU-2016MM-MU001-ST002-VE005,HumanObservation,2016-04,Animalia,Osteochilus vittatus,spesies,Paitan,2.70335,99.6172806,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST003,USU-2016MM-MU001-ST003-VE001,HumanObservation,2016-04,Animalia,Channa sriata,spesies,Gabus,2.7059722,99.6242806,WGS84,ID,,0.05,indiv/m2,present,,
USU-2016MM-MU001-ST003,USU-2016MM-MU001-ST003-VE002,HumanObservation,2016-04,Animalia,Labiobarbus festivus,spesies,Sopul,2.7059722,99.6242806,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST003,USU-2016MM-MU001-ST003-VE003,HumanObservation,2016-04,Animalia,Barbodes schwanenfeldi,spesies,Lemeduk,2.7059722,99.6242806,WGS84,ID,,0.06,indiv/m2,present,,
USU-2016MM-MU001-ST003,USU-2016MM-MU001-ST003-VE004,HumanObservation,2016-04,Animalia,Osteochilus vittatus,spesies,Paitan,2.7059722,99.6242806,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST004,USU-2016MM-MU001-ST004-VE001,HumanObservation,2016-04,Animalia,Belontia hasselti,spesies,Kepar,2.7041861,99.6260694,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST004,USU-2016MM-MU001-ST004-VE002,HumanObservation,2016-04,Animalia,Labiobarbus festivus,spesies,Sopul,2.7041861,99.6260694,WGS84,ID,,0.05,indiv/m2,present,,
USU-2016MM-MU001-ST004,USU-2016MM-MU001-ST004-VE003,HumanObservation,2016-04,Animalia,Puntius orphoides,spesies,Mata merah,2.7041861,99.6260694,WGS84,ID,,0.06,indiv/m2,present,,
USU-2016MM-MU001-ST004,USU-2016MM-MU001-ST004-VE004,HumanObservation,2016-04,Animalia,Osphronemus goramy,spesies,Gurami,2.7041861,99.6260694,WGS84,ID,,0.04,indiv/m2,present,,
USU-2016MM-MU001-ST004,USU-2016MM-MU001-ST004-VE005,HumanObservation,2016-04,Animalia,Mystacoleucus marginatus,spesies,Lemasi,2.7041861,99.6260694,WGS84,ID,,0.05,indiv/m2,present,,
USU-2016MM-MU001-ST004,USU-2016MM-MU001-ST004-VE006,HumanObservation,2016-04,Animalia,Osteochilus vittatus,spesies,Paitan,2.7041861,99.6260694,WGS84,ID,,0.02,indiv/m2,present,,
