eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM001,HumanObservation,2004-09/2005-03,Plantae,Brachymenium exile,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM002,HumanObservation,2004-09/2005-03,Plantae,Bryum billardieri,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM003,HumanObservation,2004-09/2005-03,Plantae,Calymperes schidmitii,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM004,HumanObservation,2004-09/2005-03,Plantae,Campylopus umbellatus,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM005,HumanObservation,2004-09/2005-03,Plantae,Campylopus aureus,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM006,HumanObservation,2004-09/2005-03,Plantae,Dicranoloma assimile,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM007,HumanObservation,2004-09/2005-03,Plantae,Dicranoloma braunii,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM008,HumanObservation,2004-09/2005-03,Plantae,Dicranoloma reflexum,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM009,HumanObservation,2004-09/2005-03,Plantae,Dicranella setifera,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM010,HumanObservation,2004-09/2005-03,Plantae,Leucoloma celebesiae,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM011,HumanObservation,2004-09/2005-03,Plantae,Leucoloma molle,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM012,HumanObservation,2004-09/2005-03,Plantae,Trematodon longicollis,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM013,HumanObservation,2004-09/2005-03,Plantae,Fissiden anomalus,Species,,-6.7388889,107.0111111,,ID,,,,,
UI-2005RW-RL001-BS001,UI-2005RW-RL001-BS001-EM014,HumanObservation,2004-09/2005-03,Plantae,Fissiden braunii,Species,,-6.7388889,107.0111111,,ID,,,,,
