eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE001,HumanObservation,2011-07/2011-10,Animalia,Nemacheilus chrysolaimos,Spesies,Jeler | Hillstream loaches,,,,,3,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE002,HumanObservation,2011-07/2011-10,Animalia,Aequidens pulcher,Spesies,Golson | Blue acara,,,,,2,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE003,HumanObservation,2011-07/2011-10,Animalia,Oreochromis niloticus,Spesies,Nila | Nile tilapia,,,,,1,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE004,HumanObservation,2011-07/2011-10,Animalia,Puntius binotatus,Spesies,Beunteur | Spotted barb,,,,,31,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE005,HumanObservation,2011-07/2011-10,Animalia,Poecilia latipinna,Spesies,Bungkreung | Guppy,,,,,32,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE006,HumanObservation,2011-07/2011-10,Animalia,Poecilia reticulata,Spesies,Ikan seribu | Guppy,,,,,37,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE007,HumanObservation,2011-07/2011-10,Animalia,Xiphorus helleri,Spesies,Pelatis sawah | Swordtail,,,,,35,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP001,UI-2012NH-RL008-SP001-VE008,HumanObservation,2011-07/2011-10,Animalia,Monopterus albus,Spesies,Belut | Swamp eel,,,,,2,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP002,UI-2012NH-RL008-SP002-VE001,HumanObservation,2011-07/2011-10,Animalia,Channa striata,Spesies,Gabus,,,,,1,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
UI-2012NH-RL008-SP002,UI-2012NH-RL008-SP002-VE002,HumanObservation,2011-07/2011-10,Animalia,Oreochromis niloticus,Spesies,Nila | Nile tilapia,,,,,1,,,,The freshwater fishes of North Borneo. Inger & Chin.1962. | Ikan air tawar Indonesia bagian barat dan Sulawesi. Kottelat dkk. 1993.| Fish fauna in Gunung Halimun National Park and the adjacent area. Rachmantika. 2002.,
