eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2000WN-RN001-SCIKk,IPB-2000WN-RN001-SCIKk-VE001,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Channa gachua,Species,Gabus,-6.7166667000000002,106.5333333,WGS48,ID,3,3,individuals,present,
IPB-2000WN-RN001-SCIKk,IPB-2000WN-RN001-SCIKk-VE002,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Glyptothorax platypogon,Species,Kehkel,-6.7166667000000002,106.5333333,WGS48,ID,6,6,individuals,present,
IPB-2000WN-RN001-SCIKk,IPB-2000WN-RN001-SCIKk-VE003,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Poecilia reticulata,Species,Ikan seribu,-6.7166667000000002,106.5333333,WGS48,ID,3,3,individuals,present,
IPB-2000WN-RN001-SCIKk,IPB-2000WN-RN001-SCIKk-VE004,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Puntius binotatus,Species,Beunteur,-6.7166667000000002,106.5333333,WGS48,ID,6,6,individuals,present,
IPB-2000WN-RN001-SCIKk,IPB-2000WN-RN001-SCIKk-VE005,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Rasbora aprotaenia,Species,Paray,-6.7166667000000002,106.5333333,WGS48,ID,116,116,individuals,present,
IPB-2000WN-RN001-SCIKh,IPB-2000WN-RN001-SCIKh-VE001,LivingSpecimen,1995-12-27/1996-01-05,Animalia,Monopterus albus,Species,Belut,-6.7166667000000002,106.5333333,WGS48,ID,9,9,individuals,present,
IPB-2000WN-RN001-SCIKh,IPB-2000WN-RN001-SCIKh-VE002,LivingSpecimen,1995-12-27/1996-01-05,Animalia,Puntius binotatus,Species,Beunteur,-6.7166667000000002,106.5333333,WGS48,ID,21,21,individuals,present,
IPB-2000WN-RN001-SCIKh,IPB-2000WN-RN001-SCIKh-VE003,LivingSpecimen,1995-12-27/1996-01-05,Animalia,Channa gachua,Species,Gabus,-6.7166667000000002,106.5333333,WGS48,ID,21,21,individuals,present,
IPB-2000WN-RN001-SCIKh,IPB-2000WN-RN001-SCIKh-VE004,LivingSpecimen,1995-12-27/1996-01-05,Animalia,Poecilia reticulata,Species,Ikan seribu,-6.7166667000000002,106.5333333,WGS48,ID,2,2,individuals,present,
IPB-2000WN-RN001-SCIKh,IPB-2000WN-RN001-SCIKh-VE005,LivingSpecimen,1995-12-27/1996-01-05,Animalia,Glyptothorax platypogon,Species,Kehkel,-6.7166667000000002,106.5333333,WGS48,ID,10,10,individuals,present,
IPB-2000WN-RN001-SCIKh,IPB-2000WN-RN001-SCIKh-VE006,LivingSpecimen,1995-12-27/1996-01-05,Animalia,Rasbora aprotaenia,Species,Paray,-6.7166667000000002,106.5333333,WGS48,ID,22,22,individuals,present,
IPB-2000WN-RN001-SCISk,IPB-2000WN-RN001-SCISk-VE001,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Poecilia reticulata,Species,Ikan seribu,-6.8666666999999997,106.5166667,WGS48,ID,22,22,individuals,present,
IPB-2000WN-RN001-SCISk,IPB-2000WN-RN001-SCISk-VE002,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Puntius binotatus,Species,Beunteur,-6.8666666999999997,106.5166667,WGS48,ID,7,7,individuals,present,
IPB-2000WN-RN001-SCISk,IPB-2000WN-RN001-SCISk-VE003,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Rasbora aprotaenia,Species,Paray,-6.8666666999999997,106.5166667,WGS48,ID,26,26,individuals,present,
IPB-2000WN-RN001-SCISk,IPB-2000WN-RN001-SCISk-VE004,LivingSpecimen,1999-06-14/1999-07-14,Animalia,Sicyopterus sp.,Genus,Ucang,-6.8666666999999997,106.5166667,WGS48,ID,100,100,individuals,present,
IPB-2000WN-RN001-SCISh,IPB-2000WN-RN001-SCISh-VE001,LivingSpecimen,1999-02-23/1999-03-12,Animalia,Puntius binotatus,Species,Beunteur,-6.8666666999999997,106.5166667,WGS48,ID,32,32,individuals,present,
IPB-2000WN-RN001-SCISh,IPB-2000WN-RN001-SCISh-VE002,LivingSpecimen,1999-02-23/1999-03-12,Animalia,Channa gachua,Species,Gabus,-6.8666666999999997,106.5166667,WGS48,ID,9,9,individuals,present,
IPB-2000WN-RN001-SCISh,IPB-2000WN-RN001-SCISh-VE003,LivingSpecimen,1999-02-23/1999-03-12,Animalia,Poecilia reticulata,Species,Ikan seribu,-6.8666666999999997,106.5166667,WGS48,ID,20,20,individuals,present,
IPB-2000WN-RN001-SCISh,IPB-2000WN-RN001-SCISh-VE004,LivingSpecimen,1999-02-23/1999-03-12,Animalia,Clarias batrachus,Species,Lele,-6.8666666999999997,106.5166667,WGS48,ID,1,1,individuals,present,
