eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM001,HumanObservation,2012-03/06,Plantae,Cyperus cyperoides,species,,2.8229389,98.7546389,WGS84,ID,,,,absent,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM002,HumanObservation,2012-03/06,Plantae,Cyperus iria,species,,2.8229389,98.7546389,WGS84,ID,28,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM003,HumanObservation,2012-03/06,Plantae,Cyperus pumilus,species,,2.8229389,98.7546389,WGS84,ID,28,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM004,HumanObservation,2012-03/06,Plantae,Cyperus rotundus,species,,2.8229389,98.7546389,WGS84,ID,83,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM005,HumanObservation,2012-03/06,Plantae,Fimbristylis ovata,species,,2.8229389,98.7546389,WGS84,ID,54,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM006,HumanObservation,2012-03/06,Plantae,Fimbristylis tomentosa,species,,2.8229389,98.7546389,WGS84,ID,24,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM007,HumanObservation,2012-03/06,Plantae,Kyllinga brervifollius,species,,2.8229389,98.7546389,WGS84,ID,,,,absent,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM008,HumanObservation,2012-03/06,Plantae,Kyllinga monocephala,species,,2.8229389,98.7546389,WGS84,ID,37,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM009,HumanObservation,2012-03/06,Plantae,Scleria lacustris,species,,2.8229389,98.7546389,WGS84,ID,198,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
USU-2013PP-RS008-TR001,USU-2013PP-RS008-TR001-EM010,HumanObservation,2012-03/06,Plantae,Botriochloa glabra,species,,2.8229389,98.7546389,WGS84,ID,828,,,present,"Plant Classification (Benson , 1957)|Rumput Pegunungan (Sastrapradja & Afriastini, 1981)|Flora (Van Steenis, 1987)|Weeds of Rice in Indonesia (Soerjani, Kostermans dan Tjitrosoepomo, 1987)|Tumbuhan Monokotil (Sudarnadi, 1995)|Prosea, Plant Resources of South-East Asia 4 (Volkenburg dan Bunyapraphatsara, 2002)",
