eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2011NE-RS010-ST001,USU-2011NE-RS010-ST001-TN001,HumanObservation,2010-09/10,animalia,Fridericia,genus,,3.042,99.2124,WGS84,ID,,,,absent,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST001,USU-2011NE-RS010-ST001-TN002,HumanObservation,2010-09/10,animalia,Megascolex,genus,,3.042,99.2124,WGS84,ID,2,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST001,USU-2011NE-RS010-ST001-TN003,HumanObservation,2010-09/10,animalia,Pheretima Posthuma,species,,3.042,99.2124,WGS84,ID,3,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST001,USU-2011NE-RS010-ST001-TN004,HumanObservation,2010-09/10,animalia,Pontoscolex corethrurus,species,,3.042,99.2124,WGS84,ID,1,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST002,USU-2011NE-RS010-ST002-TN001,HumanObservation,2010-09/10,animalia,Fridericia,genus,,3.0630444,99.234,WGS84,ID,,,,absent,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST002,USU-2011NE-RS010-ST002-TN002,HumanObservation,2010-09/10,animalia,Megascolex,genus,,3.0630444,99.234,WGS84,ID,1,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST002,USU-2011NE-RS010-ST002-TN003,HumanObservation,2010-09/10,animalia,Pheretima Posthuma,species,,3.0630444,99.234,WGS84,ID,3,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST002,USU-2011NE-RS010-ST002-TN004,HumanObservation,2010-09/10,animalia,Pontoscolex corethrurus,species,,3.0630444,99.234,WGS84,ID,2,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST003,USU-2011NE-RS010-ST003-TN001,HumanObservation,2010-09/10,animalia,Fridericia,genus,,3.0564,99.2196,WGS84,ID,4,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST003,USU-2011NE-RS010-ST003-TN002,HumanObservation,2010-09/10,animalia,Megascolex,genus,,3.0564,99.2196,WGS84,ID,1,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST003,USU-2011NE-RS010-ST003-TN003,HumanObservation,2010-09/10,animalia,Pheretima Posthuma,species,,3.0564,99.2196,WGS84,ID,2,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011NE-RS010-ST003,USU-2011NE-RS010-ST003-TN004,HumanObservation,2010-09/10,animalia,Pontoscolex corethrurus,species,,3.0564,99.2196,WGS84,ID,3,,,present,Dindal (1990)|Suin (1997)|Jhon (1998),
USU-2011EN-RS011-ST001,USU-2011EN-RS011-ST001-MA001,HumanObservation,2011-03/04,animalia,Cocconeis,genus,,3.3871944,99.4108611,WGS84,ID,,112.25,individu/liter,present,Edmonson (1963)|Bold and Wayne (1985)|Pennak (1989),fitoplankton
USU-2011EN-RS011-ST001,USU-2011EN-RS011-ST001-MA002,HumanObservation,2011-03/04,animalia,Achnanthes,genus,,3.3871944,99.4108611,WGS84,ID,,,individu/liter,absent,Edmonson (1963)|Bold and Wayne (1985)|Pennak (1989),fitoplankton
