eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA001,humanobservation,2009-05,animalia,Abudefduf notatus,species,,5.8837222,95.259,WGS84,ID,,0.215,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA002,humanobservation,2009-05,animalia,Acanthurus blochii,species,,5.8837222,95.259,WGS84,ID,,0.125,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA003,humanobservation,2009-05,animalia,Acanthurus flowleri,species,,5.8837222,95.259,WGS84,ID,,0.09,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA004,humanobservation,2009-05,animalia,Acanthurus grammoptilus,species,,5.8837222,95.259,WGS84,ID,,0.18,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA005,humanobservation,2009-05,animalia,Acanthurus leucocheilus,species,,5.8837222,95.259,WGS84,ID,,0.175,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA006,humanobservation,2009-05,animalia,Acanthurus leucosternon,species,,5.8837222,95.259,WGS84,ID,,0.37,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA007,humanobservation,2009-05,animalia,Acanthurus lineatus,species,,5.8837222,95.259,WGS84,ID,,0.115,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA008,humanobservation,2009-05,animalia,Amblygobius sp,genus,,5.8837222,95.259,WGS84,ID,,0.2,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA009,humanobservation,2009-05,animalia,Amphichaetodon sp,species,,5.8837222,95.259,WGS84,ID,,0.23,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA010,humanobservation,2009-05,animalia,Amphiprion ephippium,species,,5.8837222,95.259,WGS84,ID,,0.145,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA011,humanobservation,2009-05,animalia,Amphiprion clarkii,species,,5.8837222,95.259,WGS84,ID,,0.11,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA012,humanobservation,2009-05,animalia,Anampses sp,genus,,5.8837222,95.259,WGS84,ID,,0.09,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA013,humanobservation,2009-05,animalia,Caranx sp,genus,,5.8837222,95.259,WGS84,ID,,0.045,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA014,humanobservation,2009-05,animalia,Chaetodon decussatus,species,,5.8837222,95.259,WGS84,ID,,0.21,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA015,humanobservation,2009-05,animalia,Chaetodon meyersi,species,,5.8837222,95.259,WGS84,ID,,0.09,individu/m2,present,Allen et  al (2003),
