eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM001,HumanObservation,2005-11/2005-12,Plantae,Pityrogramma calomelanos,Species,Paku perak,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM002,HumanObservation,2005-11/2005-12,Plantae,Taenitis blechnoides,Species,Paku ringin,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM003,HumanObservation,2005-11/2005-12,Plantae,Cyathea contaminans,Species,Paku tihang,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM004,HumanObservation,2005-11/2005-12,Plantae,Cyathea raciborskii,Species,Paku sayur,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM005,HumanObservation,2005-11/2005-12,Plantae,Cyathea squamulata,Species,Paku bulu,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM006,HumanObservation,2005-11/2005-12,Plantae,Arcypteris irregularis,Species,Paku kapal,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM007,HumanObservation,2005-11/2005-12,Plantae,Asplenium unilaterale,Species,,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM008,HumanObservation,2005-11/2005-12,Plantae,Asplenium salignum,Species,Paku antu,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM009,HumanObservation,2005-11/2005-12,Plantae,Athyrium accendens,Species,Paku beunyeur,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM010,HumanObservation,2005-11/2005-12,Plantae,Athyrium cordifolium,Species,Paku sepat,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM011,HumanObservation,2005-11/2005-12,Plantae,Athyrium subserratum,Species,,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM012,HumanObservation,2005-11/2005-12,Plantae,Blechnum orientale,Species,Paku lencir,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM013,HumanObservation,2005-11/2005-12,Plantae,Ctenitis vilis,Species,,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM014,HumanObservation,2005-11/2005-12,Plantae,Lindsaea parallelogramma,Species,,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM015,HumanObservation,2005-11/2005-12,Plantae,Lindsaea repens,Species,Paku rambut,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM016,HumanObservation,2005-11/2005-12,Plantae,Lomagramma lomariodes,Species,,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM017,HumanObservation,2005-11/2005-12,Plantae,Nephrolepis biserrata,Species,Paku harupat,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM018,HumanObservation,2005-11/2005-12,Plantae,Pteris vittata,Species,,,,,ID,,,,,
UI-2006HA-TL001-JB01,UI-2006HA-TL001-JB01-EM019,HumanObservation,2005-11/2005-12,Plantae,Schizoloma tenerum,Species,,,,,ID,,,,,
