eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA001,HumanObservation,2012-07-9/11,Animalia,Cerithidea cingulata,Species,,-6.4941667,105.7958333,,ID,21,21,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA002,HumanObservation,2012-07-9/11,Animalia,Cerithidea djadjariensis,Species,,-6.4941667,105.7958333,,ID,16,16,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA003,HumanObservation,2012-07-9/11,Animalia,Clypeomorus batillariaformis,Species,,-6.4941667,105.7958333,,ID,17,17,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA004,HumanObservation,2012-07-9/11,Animalia,Clypeomorus bifasciata,Species,,-6.4941667,105.7958333,,ID,9,9,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA005,HumanObservation,2012-07-9/11,Animalia,Clypeomorus tuberculatus,Species,,-6.4941667,105.7958333,,ID,11,11,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA006,HumanObservation,2012-07-9/11,Animalia,Turritella cingulifera,Species,,-6.4941667,105.7958333,,ID,29,29,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA007,HumanObservation,2012-07-9/11,Animalia,Babylonia spirata,Species,,-6.4941667,105.7958333,,ID,34,34,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA008,HumanObservation,2012-07-9/11,Animalia,Nassarius albescens,Species,,-6.4941667,105.7958333,,ID,16,16,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA009,HumanObservation,2012-07-9/11,Animalia,Nassarius dorsatus,Species,,-6.4941667,105.7958333,,ID,26,26,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA010,HumanObservation,2012-07-9/11,Animalia,Nassarius stolatus,Species,,-6.4941667,105.7958333,,ID,15,15,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA011,HumanObservation,2012-07-9/11,Animalia,Natica tigrina,Species,,-6.4941667,105.7958333,,ID,11,11,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA012,HumanObservation,2012-07-9/11,Animalia,Merginella ventricosa,Species,,-6.4941667,105.7958333,,ID,23,23,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA013,HumanObservation,2012-07-9/11,Animalia,Thais javanica,Species,,-6.4941667,105.7958333,,ID,13,13,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA014,HumanObservation,2012-07-9/11,Animalia,Melongena pugilina,Species,,-6.4941667,105.7958333,,ID,6,6,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA015,HumanObservation,2012-07-9/11,Animalia,Trigonostoma scalariformis,Species,,-6.4941667,105.7958333,,ID,15,15,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST01,UI-2013DS-TL036-ST01-MA016,HumanObservation,2012-07-9/11,Animalia,Turricula javana,Species,,-6.4941667,105.7958333,,ID,6,6,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA001,HumanObservation,2012-07-9/11,Animalia,Clypeomorus batillariaformis,Species,,-6.4941667,105.7958333,,ID,20,20,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA002,HumanObservation,2012-07-9/11,Animalia,Clypeomorus bifasciata,Species,,-6.4941667,105.7958333,,ID,16,16,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA003,HumanObservation,2012-07-9/11,Animalia,Clypeomorus tuberculatus,Species,,-6.4941667,105.7958333,,ID,18,18,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA004,HumanObservation,2012-07-9/11,Animalia,Turritella cingulifera,Species,,-6.4941667,105.7958333,,ID,22,22,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA005,HumanObservation,2012-07-9/11,Animalia,Nassarius albescens,Species,,-6.4941667,105.7958333,,ID,15,15,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA006,HumanObservation,2012-07-9/11,Animalia,Nassarius dorsatus,Species,,-6.4941667,105.7958333,,ID,21,21,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA007,HumanObservation,2012-07-9/11,Animalia,Nassarius stolatus,Species,,-6.4941667,105.7958333,,ID,18,18,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA008,HumanObservation,2012-07-9/11,Animalia,Natica tigrina,Species,,-6.4941667,105.7958333,,ID,36,36,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA009,HumanObservation,2012-07-9/11,Animalia,Polinices aurantius,Species,,-6.4941667,105.7958333,,ID,9,9,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA010,HumanObservation,2012-07-9/11,Animalia,Morula margariticola,Species,,-6.4941667,105.7958333,,ID,3,3,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA011,HumanObservation,2012-07-9/11,Animalia,Thais javanica,Species,,-6.4941667,105.7958333,,ID,9,9,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA012,HumanObservation,2012-07-9/11,Animalia,Agaronia acuminata,Species,,-6.4941667,105.7958333,,ID,10,10,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA013,HumanObservation,2012-07-9/11,Animalia,Trigonostoma scalariformis,Species,,-6.4941667,105.7958333,,ID,11,11,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA014,HumanObservation,2012-07-9/11,Animalia,Turricula javana,Species,,-6.4941667,105.7958333,,ID,13,13,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST02,UI-2013DS-TL036-ST02-MA015,HumanObservation,2012-07-9/11,Animalia,Vexillum vulpecula,Species,,-6.4941667,105.7958333,,ID,15,15,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST03,UI-2013DS-TL036-ST03-MA001,HumanObservation,2012-07-9/11,Animalia,Turbo brunneus,Species,,-6.4941667,105.7958333,,ID,15,15,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST03,UI-2013DS-TL036-ST03-MA002,HumanObservation,2012-07-9/11,Animalia,Nerita undata,Species,,-6.4941667,105.7958333,,ID,8,8,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST03,UI-2013DS-TL036-ST03-MA003,HumanObservation,2012-07-9/11,Animalia,Clypeomorus bifasciata,Species,,-6.4941667,105.7958333,,ID,8,8,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST03,UI-2013DS-TL036-ST03-MA004,HumanObservation,2012-07-9/11,Animalia,Turritella cingulifera,Species,,-6.4941667,105.7958333,,ID,13,13,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
UI-2013DS-TL036-ST03,UI-2013DS-TL036-ST03-MA005,HumanObservation,2012-07-9/11,Animalia,Cantharus fumosus,Species,,-6.4941667,105.7958333,,ID,9,9,individuals,,Shallow Water Marine Molluscs of North West Java. Robert at al. 1982| Soft-sediment Marine Invertebrates of Southeast Asia and Australia: A Guide to Identification. Arnold & Birtles. 1989| Australian Marine Shells. Wilson. 1993| Siput dan Kerang Indonesia I (Indonesian Shells). Dharma. 1988| Siput dan Kerang Indonesia II (Indonesian Shells). Dharma. 1992,
