eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA001,Human Observation,2015-02,Plantae,Caulerpa,Genus,,1.5769639,98.7581028,WGS84,ID,,6.6,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA002,Human Observation,2015-02,Plantae,Halimeda,Genus,,1.5769639,98.7581028,WGS84,ID,,3.4,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA003,Human Observation,2015-02,Plantae,Hypnea,Genus,,1.5769639,98.7581028,WGS84,ID,,1,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA004,Human Observation,2015-02,Plantae,Padina,Genus,,1.5769639,98.7581028,WGS84,ID,,2.2,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA005,Human Observation,2015-02,Plantae,Sargassum,Genus,,1.5769639,98.7581028,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA006,Human Observation,2015-02,Plantae,Turbinaria,Genus,,1.5769639,98.7581028,WGS84,ID,,3.4,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST001,USU-2015DA-AH001-ST001-MA007,Human Observation,2015-02,Plantae,Tydemania,Genus,,1.5769639,98.7581028,WGS84,ID,,1.2,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA001,Human Observation,2015-02,Plantae,Caulerpa,Genus,,1.5747833,98.7608278,WGS84,ID,,3.4,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA002,Human Observation,2015-02,Plantae,Halimeda,Genus,,1.5747833,98.7608278,WGS84,ID,,3,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA003,Human Observation,2015-02,Plantae,Hypnea,Genus,,1.5747833,98.7608278,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA004,Human Observation,2015-02,Plantae,Padina,Genus,,1.5747833,98.7608278,WGS84,ID,,1.6,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA005,Human Observation,2015-02,Plantae,Sargassum,Genus,,1.5747833,98.7608278,WGS84,ID,,6.8,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA006,Human Observation,2015-02,Plantae,Turbinaria,Genus,,1.5747833,98.7608278,WGS84,ID,,1.4,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST002,USU-2015DA-AH001-ST002-MA007,Human Observation,2015-02,Plantae,Tydemania,Genus,,1.5747833,98.7608278,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA001,Human Observation,2015-02,Plantae,Caulerpa,Genus,,1.5745056,98.7584722,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA002,Human Observation,2015-02,Plantae,Halimeda,Genus,,1.5745056,98.7584722,WGS84,ID,,2.2,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA003,Human Observation,2015-02,Plantae,Hypnea,Genus,,1.5745056,98.7584722,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA004,Human Observation,2015-02,Plantae,Padina,Genus,,1.5745056,98.7584722,WGS84,ID,,1.4,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA005,Human Observation,2015-02,Plantae,Sargassum,Genus,,1.5745056,98.7584722,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA006,Human Observation,2015-02,Plantae,Turbinaria,Genus,,1.5745056,98.7584722,WGS84,ID,,2.6,ind/m2,Present,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
USU-2015DA-AH001-ST003,USU-2015DA-AH001-ST003-MA007,Human Observation,2015-02,Plantae,Tydemania,Genus,,1.5745056,98.7584722,WGS84,ID,,,,Absent,Sterret (1986) | Direktorat Jendral Perikanan Budidaya (2009),
