eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE001,Human Observation,2014-05/2014-06,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,40,Individuals,,Present,
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE002,Human Observation,2014-05/2014-06,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,4,Individuals,,Present,
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE003,Human Observation,2014-05/2014-06,Animalia,Limnonectes cf modestus,Genus,,,,,ID,12,Individuals,,Present,Species endemic | Limnonectes cf modestus (cf = common form)
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE004,Human Observation,2014-05/2014-06,Animalia,Limnonectes larvaepartus,Species,,,,,ID,1,Individual,,Present,Species endemic
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE005,Human Observation,2014-05/2014-06,Animalia,Polypedates iskandari,Species,,,,,ID,1,Individual,,Present,Species endemic
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE006,Human Observation,2014-05/2014-06,Animalia,Duttaphyrynus melanostictus,Species,Kodok buduk,,,,ID,8,Individuals,,Present,
IPB-2015NA-MF013-KT001,IPB-2015NA-MF013-KT001-VE007,Human Observation,2014-05/2014-06,Animalia,Ingerphynus celebensis,Species,,,,,ID,4,Individuals,,Present,Species endemic
IPB-2015NA-MF013-KJ002,IPB-2015NA-MF013-KJ002-VE008,Human Observation,2014-05/2014-06,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,10,Individuals,,Present,
IPB-2015NA-MF013-KJ002,IPB-2015NA-MF013-KJ002-VE009,Human Observation,2014-05/2014-06,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,5,Individuals,,Present,
IPB-2015NA-MF013-KJ002,IPB-2015NA-MF013-KJ002-VE010,Human Observation,2014-05/2014-06,Animalia,Limnonectes heinrichi,Species,,,,,ID,24,Individuals,,Present,Species endemic
IPB-2015NA-MF013-KJ002,IPB-2015NA-MF013-KJ002-VE011,Human Observation,2014-05/2014-06,Animalia,Limnonectes cf modestus,Genus,,,,,ID,176,Individuals,,Present,Species endemic | Limnonectes cf modestus (cf = common form)
