eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA001,Human observation,2016-3/2016-4,Animalia,Amblyglyphidodon curacao,species,,,,,ID,,individuals,,present,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA002,Human observation,2016-3/2016-4,Animalia,Abudefduf bengalensis,species,,,,,ID,,individuals,,present,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA003,Human observation,2016-3/2016-4,Animalia,Chromis dimidiate,species,,,,,ID,,individuals,,present,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA004,Human observation,2016-3/2016-4,Animalia,Pomacentrus moluccensis,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA005,Human observation,2016-3/2016-4,Animalia,Chaetodon octofasciatus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA006,Human observation,2016-3/2016-4,Animalia,Apogon sealei,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA007,Human observation,2016-3/2016-4,Animalia,Apogon fragilis,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA008,Human observation,2016-3/2016-4,Animalia,Sconopsis bilineata,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA009,Human observation,2016-3/2016-4,Animalia,Scarus quoyi,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA010,Human observation,2016-3/2016-4,Animalia,Siganus puellus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA011,Human observation,2016-3/2016-4,Animalia,Aeoliscus strigatus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC001,IPB-2014AA-AJ001-UVC001-MA012,Human observation,2016-3/2016-4,Animalia,Corythoichthy haematopterus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA001,Human observation,2016-3/2016-4,Animalia,Amblyglyphidodon curacao,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA002,Human observation,2016-3/2016-4,Animalia,Abudefduf bengalensis,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA003,Human observation,2016-3/2016-4,Animalia,Chromis dimidiate,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA004,Human observation,2016-3/2016-4,Animalia,Pomacentrus moluccensis,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA005,Human observation,2016-3/2016-4,Animalia,Chaetodon octofasciatus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA006,Human observation,2016-3/2016-4,Animalia,Parachaetodon ocellatus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA007,Human observation,2016-3/2016-4,Animalia,Acanturus triostegus,species,,,,,ID,,,,,
IPB-2014AA-AJ001-UVC002,IPB-2014AA-AJ001-UVC002-MA008,Human observation,2016-3/2016-4,Animalia,Apogon sealei,species,,,,,ID,,,,,
